指标名称,焦炭：247家钢铁企业：库存可用天数：中国（周）
指标编码,ID01109377
2026-01-09 00:00:00,12.02
2026-01-02 00:00:00,12.1
2025-12-26 00:00:00,12.01
2025-12-19 00:00:00,11.72
2025-12-12 00:00:00,11.66
2025-12-05 00:00:00,11.29
2025-11-28 00:00:00,11.29
2025-11-21 00:00:00,11.05
2025-11-14 00:00:00,11.06
2025-11-07 00:00:00,11.07
2025-10-31 00:00:00,11.57
2025-10-24 00:00:00,11.07
2025-10-17 00:00:00,11.19
2025-10-10 00:00:00,11.42
2025-10-03 00:00:00,11.6
2025-09-26 00:00:00,11.66
2025-09-19 00:00:00,11.42
2025-09-12 00:00:00,11.29
2025-09-05 00:00:00,11.71
2025-08-29 00:00:00,10.78
2025-08-22 00:00:00,10.76
2025-08-15 00:00:00,10.83
2025-08-08 00:00:00,10.91
2025-08-01 00:00:00,11.17
2025-07-25 00:00:00,11.45
2025-07-18 00:00:00,11.46
2025-07-11 00:00:00,11.64
2025-07-04 00:00:00,11.52
2025-06-27 00:00:00,11.22
2025-06-20 00:00:00,11.42
2025-06-13 00:00:00,11.62
2025-06-06 00:00:00,11.58
2025-05-30 00:00:00,11.71
2025-05-23 00:00:00,11.89
2025-05-16 00:00:00,12.01
2025-05-09 00:00:00,12.1
2025-05-02 00:00:00,12.17
2025-04-25 00:00:00,12.06
2025-04-18 00:00:00,12.29
2025-04-11 00:00:00,12.41
2025-04-04 00:00:00,12.56
2025-03-28 00:00:00,12.72
2025-03-21 00:00:00,12.84
2025-03-14 00:00:00,13.63
2025-03-07 00:00:00,13.17
2025-02-28 00:00:00,13.4
2025-02-21 00:00:00,13.37
2025-02-14 00:00:00,13.24
2025-02-07 00:00:00,13.27
2025-01-31 00:00:00,13.4
2025-01-24 00:00:00,13.74
2025-01-17 00:00:00,13.57
2025-01-10 00:00:00,13.56
2025-01-03 00:00:00,13.12
2024-12-27 00:00:00,12.98
2024-12-20 00:00:00,12.5
2024-12-13 00:00:00,12.05
2024-12-06 00:00:00,11.79
2024-11-29 00:00:00,11.75
2024-11-22 00:00:00,11.48
2024-11-15 00:00:00,11.2
2024-11-08 00:00:00,11.16
2024-11-01 00:00:00,11.08
2024-10-25 00:00:00,10.85
2024-10-18 00:00:00,10.78
2024-10-11 00:00:00,10.8
2024-10-04 00:00:00,10.94
2024-09-27 00:00:00,11.11
2024-09-20 00:00:00,10.78
2024-09-13 00:00:00,10.82
2024-09-06 00:00:00,10.84
2024-08-30 00:00:00,10.84
2024-08-23 00:00:00,10.81
2024-08-16 00:00:00,10.67
2024-08-09 00:00:00,10.6
2024-08-02 00:00:00,10.48
2024-07-26 00:00:00,10.25
2024-07-19 00:00:00,10.51
2024-07-12 00:00:00,10.3
2024-07-05 00:00:00,10.44
2024-06-28 00:00:00,10.46
2024-06-21 00:00:00,10.58
2024-06-14 00:00:00,10.52
2024-06-07 00:00:00,10.61
2024-05-31 00:00:00,10.62
2024-05-24 00:00:00,10.71
2024-05-17 00:00:00,10.75
2024-05-10 00:00:00,10.72
2024-05-03 00:00:00,10.55
2024-04-26 00:00:00,10.69
2024-04-19 00:00:00,11.56
2024-04-12 00:00:00,11.76
2024-04-05 00:00:00,11.98
2024-03-29 00:00:00,11.92
2024-03-22 00:00:00,12.09
2024-03-15 00:00:00,12.4
2024-03-08 00:00:00,12.66
2024-03-01 00:00:00,12.65
2024-02-23 00:00:00,12.7
2024-02-16 00:00:00,12.97
2024-02-09 00:00:00,13.57
2024-02-02 00:00:00,13.67
2024-01-26 00:00:00,13.32
2024-01-19 00:00:00,13.06
2024-01-12 00:00:00,12.74
2024-01-05 00:00:00,12.47
2023-12-29 00:00:00,12.18
2023-12-22 00:00:00,11.04
2023-12-15 00:00:00,11.12
2023-12-08 00:00:00,11.1
2023-12-01 00:00:00,10.8
2023-11-24 00:00:00,10.64
2023-11-17 00:00:00,10.95
2023-11-10 00:00:00,11.31
2023-11-03 00:00:00,11.05
2023-10-27 00:00:00,10.74
2023-10-20 00:00:00,10.73
2023-10-13 00:00:00,10.63
2023-10-06 00:00:00,10.58
2023-09-29 00:00:00,10.69
2023-09-22 00:00:00,10.71
2023-09-15 00:00:00,10.85
2023-09-08 00:00:00,10.91
2023-09-01 00:00:00,10.79
2023-08-25 00:00:00,10.66
2023-08-18 00:00:00,10.28
2023-08-11 00:00:00,10.05
2023-08-04 00:00:00,10.47
2023-07-28 00:00:00,10.86
2023-07-21 00:00:00,11.15
2023-07-14 00:00:00,11.41
2023-07-07 00:00:00,11.24
2023-06-30 00:00:00,11.53
2023-06-23 00:00:00,11.54
2023-06-16 00:00:00,11.66
2023-06-09 00:00:00,11.53
2023-06-02 00:00:00,11.63
2023-05-26 00:00:00,11.72
2023-05-19 00:00:00,11.84
2023-05-12 00:00:00,11.83
2023-05-05 00:00:00,11.85
2023-04-28 00:00:00,11.54
2023-04-21 00:00:00,11.48
2023-04-14 00:00:00,11.74
2023-04-07 00:00:00,12.28
2023-03-31 00:00:00,12.48
2023-03-24 00:00:00,12.22
2023-03-17 00:00:00,12.46
2023-03-10 00:00:00,12.87
2023-03-03 00:00:00,12.98
2023-02-24 00:00:00,12.88
2023-02-17 00:00:00,12.81
2023-02-10 00:00:00,12.97
2023-02-03 00:00:00,12.81
2023-01-27 00:00:00,12.92
2023-01-20 00:00:00,13.83
2023-01-13 00:00:00,13.65
2023-01-06 00:00:00,13.07
2022-12-30 00:00:00,12.41
2022-12-23 00:00:00,12.05
2022-12-16 00:00:00,12.13
2022-12-09 00:00:00,11.97
2022-12-02 00:00:00,12.02
2022-11-25 00:00:00,12.18
2022-11-18 00:00:00,12.17
2022-11-11 00:00:00,11.98
2022-11-04 00:00:00,11.6
2022-10-28 00:00:00,11.44
2022-10-21 00:00:00,11.73
2022-10-14 00:00:00,11.53
2022-10-07 00:00:00,11.67
2022-09-30 00:00:00,11.66
2022-09-23 00:00:00,11.81
2022-09-16 00:00:00,11.43
2022-09-09 00:00:00,11.45
2022-09-02 00:00:00,11.71
2022-08-26 00:00:00,11.23
2022-08-19 00:00:00,11.12
2022-08-12 00:00:00,11.15
2022-08-05 00:00:00,11.63
2022-07-29 00:00:00,11.94
2022-07-22 00:00:00,12.27
2022-07-15 00:00:00,12.07
2022-07-08 00:00:00,11.87
2022-07-01 00:00:00,11.58
2022-06-24 00:00:00,11.22
2022-06-17 00:00:00,11.21
2022-06-10 00:00:00,11.66
2022-06-03 00:00:00,11.78
2022-05-27 00:00:00,12.18
2022-05-20 00:00:00,11.93
2022-05-13 00:00:00,11.95
2022-05-06 00:00:00,11.91
2022-04-29 00:00:00,11.73
2022-04-22 00:00:00,11.63
2022-04-15 00:00:00,12.03
2022-04-08 00:00:00,13.0
2022-04-01 00:00:00,13.41
2022-03-25 00:00:00,13.3
2022-03-18 00:00:00,14.4
2022-03-11 00:00:00,15.31
