指标名称,焦炭：247家钢铁企业：日均产量：中国（周）
指标编码,ID01109378
2026-01-09 00:00:00,46.88
2026-01-02 00:00:00,46.83
2025-12-26 00:00:00,46.8
2025-12-19 00:00:00,46.49
2025-12-12 00:00:00,46.61
2025-12-05 00:00:00,46.62
2025-11-28 00:00:00,46.32
2025-11-21 00:00:00,46.22
2025-11-14 00:00:00,46.17
2025-11-07 00:00:00,46.09
2025-10-31 00:00:00,46.21
2025-10-24 00:00:00,46.11
2025-10-17 00:00:00,45.94
2025-10-10 00:00:00,46.38
2025-10-03 00:00:00,46.54
2025-09-26 00:00:00,46.44
2025-09-19 00:00:00,46.65
2025-09-12 00:00:00,46.6
2025-09-05 00:00:00,45.72
2025-08-29 00:00:00,46.09
2025-08-22 00:00:00,46.73
2025-08-15 00:00:00,46.73
2025-08-08 00:00:00,46.8
2025-08-01 00:00:00,46.97
2025-07-25 00:00:00,47.16
2025-07-18 00:00:00,47.09
2025-07-11 00:00:00,47.19
2025-07-04 00:00:00,47.46
2025-06-27 00:00:00,47.43
2025-06-20 00:00:00,47.39
2025-06-13 00:00:00,47.24
2025-06-06 00:00:00,47.3
2025-05-30 00:00:00,47.34
2025-05-23 00:00:00,47.29
2025-05-16 00:00:00,47.3
2025-05-09 00:00:00,47.3
2025-05-02 00:00:00,47.38
2025-04-25 00:00:00,47.47
2025-04-18 00:00:00,47.4
2025-04-11 00:00:00,47.41
2025-04-04 00:00:00,47.38
2025-03-28 00:00:00,47.53
2025-03-21 00:00:00,47.42
2025-03-14 00:00:00,47.28
2025-03-07 00:00:00,47.12
2025-02-28 00:00:00,47.09
2025-02-21 00:00:00,46.84
2025-02-14 00:00:00,47.0
2025-02-07 00:00:00,46.97
2025-01-31 00:00:00,46.67
2025-01-24 00:00:00,45.97
2025-01-17 00:00:00,46.54
2025-01-10 00:00:00,46.71
2025-01-03 00:00:00,46.51
2024-12-27 00:00:00,46.72
2024-12-20 00:00:00,46.85
2024-12-13 00:00:00,46.83
2024-12-06 00:00:00,46.94
2024-11-29 00:00:00,46.78
2024-11-22 00:00:00,46.78
2024-11-15 00:00:00,46.86
2024-11-08 00:00:00,46.91
2024-11-01 00:00:00,46.89
2024-10-25 00:00:00,46.86
2024-10-18 00:00:00,46.85
2024-10-11 00:00:00,46.46
2024-10-04 00:00:00,46.64
2024-09-27 00:00:00,46.64
2024-09-20 00:00:00,46.62
2024-09-13 00:00:00,46.66
2024-09-06 00:00:00,46.36
2024-08-30 00:00:00,46.96
2024-08-23 00:00:00,47.02
2024-08-16 00:00:00,47.12
2024-08-09 00:00:00,47.2
2024-08-02 00:00:00,47.08
2024-07-26 00:00:00,46.94
2024-07-19 00:00:00,47.15
2024-07-12 00:00:00,47.15
2024-07-05 00:00:00,46.95
2024-06-28 00:00:00,46.95
2024-06-21 00:00:00,47.1
2024-06-14 00:00:00,47.08
2024-06-07 00:00:00,47.08
2024-05-31 00:00:00,47.07
