指标名称,炼焦煤：247家钢铁企业：库存：中国（周）
指标编码,ID01109379
2026-01-09 00:00:00,797.73
2026-01-02 00:00:00,802.27
2025-12-26 00:00:00,806.72
2025-12-19 00:00:00,804.99
2025-12-12 00:00:00,794.65
2025-12-05 00:00:00,798.27
2025-11-28 00:00:00,801.3
2025-11-21 00:00:00,797.08
2025-11-14 00:00:00,790.17
2025-11-07 00:00:00,787.3
2025-10-31 00:00:00,796.32
2025-10-24 00:00:00,782.96
2025-10-17 00:00:00,788.32
2025-10-10 00:00:00,781.13
2025-10-03 00:00:00,788.06
2025-09-26 00:00:00,796.07
2025-09-19 00:00:00,790.34
2025-09-12 00:00:00,793.73
2025-09-05 00:00:00,795.76
2025-08-29 00:00:00,811.85
2025-08-22 00:00:00,812.31
2025-08-15 00:00:00,805.8
2025-08-08 00:00:00,808.66
2025-08-01 00:00:00,803.79
2025-07-25 00:00:00,799.51
2025-07-18 00:00:00,791.1
2025-07-11 00:00:00,782.93
2025-07-04 00:00:00,789.6
2025-06-27 00:00:00,781.21
2025-06-20 00:00:00,774.66
2025-06-13 00:00:00,773.98
2025-06-06 00:00:00,770.91
2025-05-30 00:00:00,786.79
2025-05-23 00:00:00,798.75
2025-05-16 00:00:00,791.21
2025-05-09 00:00:00,787.21
2025-05-02 00:00:00,784.79
2025-04-25 00:00:00,782.48
2025-04-18 00:00:00,784.23
2025-04-11 00:00:00,779.63
2025-04-04 00:00:00,769.55
2025-03-28 00:00:00,762.68
2025-03-21 00:00:00,757.82
2025-03-14 00:00:00,762.28
2025-03-07 00:00:00,756.71
2025-02-28 00:00:00,768.78
2025-02-21 00:00:00,758.14
2025-02-14 00:00:00,778.69
2025-02-07 00:00:00,804.72
2025-01-31 00:00:00,831.91
2025-01-24 00:00:00,848.19
2025-01-17 00:00:00,827.49
2025-01-10 00:00:00,814.31
2025-01-03 00:00:00,784.33
2024-12-27 00:00:00,775.71
2024-12-20 00:00:00,758.99
2024-12-13 00:00:00,756.02
2024-12-06 00:00:00,741.87
2024-11-29 00:00:00,744.14
2024-11-22 00:00:00,743.87
2024-11-15 00:00:00,746.11
2024-11-08 00:00:00,741.18
2024-11-01 00:00:00,742.4
2024-10-25 00:00:00,737.53
2024-10-18 00:00:00,735.66
2024-10-11 00:00:00,734.63
2024-10-04 00:00:00,720.83
2024-09-27 00:00:00,724.76
2024-09-20 00:00:00,722.9
2024-09-13 00:00:00,718.35
2024-09-06 00:00:00,718.3
2024-08-30 00:00:00,734.46
2024-08-23 00:00:00,717.61
2024-08-16 00:00:00,706.37
2024-08-09 00:00:00,722.79
2024-08-02 00:00:00,724.29
2024-07-26 00:00:00,736.29
2024-07-19 00:00:00,746.57
2024-07-12 00:00:00,743.97
2024-07-05 00:00:00,743.84
2024-06-28 00:00:00,748.94
2024-06-21 00:00:00,754.31
2024-06-14 00:00:00,756.38
2024-06-07 00:00:00,750.79
2024-05-31 00:00:00,750.72
2024-05-24 00:00:00,756.33
2024-05-17 00:00:00,752.49
2024-05-10 00:00:00,749.09
2024-05-03 00:00:00,740.7
2024-04-26 00:00:00,731.04
2024-04-19 00:00:00,708.49
2024-04-12 00:00:00,707.06
2024-04-05 00:00:00,733.34
2024-03-29 00:00:00,751.87
2024-03-22 00:00:00,766.45
2024-03-15 00:00:00,772.81
2024-03-08 00:00:00,797.79
2024-03-01 00:00:00,806.77
2024-02-23 00:00:00,845.09
2024-02-16 00:00:00,872.26
2024-02-09 00:00:00,897.16
2024-02-02 00:00:00,891.01
2024-01-26 00:00:00,856.81
2024-01-19 00:00:00,829.67
2024-01-12 00:00:00,817.07
2024-01-05 00:00:00,813.44
2023-12-29 00:00:00,805.29
2023-12-22 00:00:00,812.02
2023-12-15 00:00:00,821.14
2023-12-08 00:00:00,812.1
2023-12-01 00:00:00,790.71
2023-11-24 00:00:00,777.22
2023-11-17 00:00:00,772.21
2023-11-10 00:00:00,748.01
2023-11-03 00:00:00,737.97
2023-10-27 00:00:00,737.81
2023-10-20 00:00:00,738.57
2023-10-13 00:00:00,751.5
2023-10-06 00:00:00,716.79
2023-09-29 00:00:00,718.69
2023-09-22 00:00:00,712.03
2023-09-15 00:00:00,721.83
2023-09-08 00:00:00,733.63
2023-09-01 00:00:00,752.54
2023-08-25 00:00:00,746.28
2023-08-18 00:00:00,727.71
2023-08-11 00:00:00,717.43
2023-08-04 00:00:00,730.94
2023-07-28 00:00:00,745.64
2023-07-21 00:00:00,737.35
2023-07-14 00:00:00,726.1
2023-07-07 00:00:00,726.05
2023-06-30 00:00:00,728.48
2023-06-23 00:00:00,725.92
2023-06-16 00:00:00,727.72
2023-06-09 00:00:00,728.49
2023-06-02 00:00:00,729.05
2023-05-26 00:00:00,727.9
2023-05-19 00:00:00,748.62
2023-05-12 00:00:00,757.71
2023-05-05 00:00:00,788.35
2023-04-28 00:00:00,796.7
2023-04-21 00:00:00,800.1
2023-04-14 00:00:00,801.02
2023-04-07 00:00:00,819.78
2023-03-31 00:00:00,837.7
2023-03-24 00:00:00,826.65
2023-03-17 00:00:00,817.2
2023-03-10 00:00:00,829.45
2023-03-03 00:00:00,834.6
2023-02-24 00:00:00,833.12
2023-02-17 00:00:00,822.96
2023-02-10 00:00:00,818.73
2023-02-03 00:00:00,843.42
2023-01-27 00:00:00,889.07
2023-01-20 00:00:00,919.27
2023-01-13 00:00:00,902.72
2023-01-06 00:00:00,886.17
2022-12-30 00:00:00,863.7
2022-12-23 00:00:00,838.39
2022-12-16 00:00:00,813.6
2022-12-09 00:00:00,792.66
2022-12-02 00:00:00,797.6
2022-11-25 00:00:00,803.57
2022-11-18 00:00:00,801.27
2022-11-11 00:00:00,807.2
2022-11-04 00:00:00,821.58
2022-10-28 00:00:00,822.7
2022-10-21 00:00:00,824.81
2022-10-14 00:00:00,826.89
2022-10-07 00:00:00,829.98
2022-09-30 00:00:00,824.16
2022-09-23 00:00:00,823.26
2022-09-16 00:00:00,811.26
2022-09-09 00:00:00,807.89
2022-09-02 00:00:00,809.55
2022-08-26 00:00:00,813.42
2022-08-19 00:00:00,818.9
2022-08-12 00:00:00,810.62
2022-08-05 00:00:00,802.0
2022-07-29 00:00:00,819.03
2022-07-22 00:00:00,832.68
2022-07-15 00:00:00,846.3
2022-07-08 00:00:00,854.3
2022-07-01 00:00:00,867.67
2022-06-24 00:00:00,878.07
2022-06-17 00:00:00,878.87
2022-06-10 00:00:00,884.67
2022-06-03 00:00:00,899.97
2022-05-27 00:00:00,900.27
2022-05-20 00:00:00,897.67
2022-05-13 00:00:00,883.37
2022-05-06 00:00:00,873.83
2022-04-29 00:00:00,832.17
2022-04-22 00:00:00,820.67
2022-04-15 00:00:00,855.5
2022-04-08 00:00:00,862.3
2022-04-01 00:00:00,864.83
2022-03-25 00:00:00,893.02
2022-03-18 00:00:00,923.6
2022-03-11 00:00:00,942.5
2022-03-04 00:00:00,950.81
2022-02-25 00:00:00,939.12
2022-02-18 00:00:00,952.02
2022-02-11 00:00:00,991.3
2022-02-04 00:00:00,1081.6
2022-01-28 00:00:00,1089.84
2022-01-21 00:00:00,1067.88
2022-01-14 00:00:00,1020.9
2022-01-07 00:00:00,1006.43
2021-12-31 00:00:00,991.88
2021-12-24 00:00:00,975.37
2021-12-17 00:00:00,970.72
2021-12-10 00:00:00,961.98
2021-12-03 00:00:00,889.05
2021-11-26 00:00:00,908.6
2021-11-19 00:00:00,908.07
2021-11-12 00:00:00,885.6
2021-11-05 00:00:00,894.23
2021-10-29 00:00:00,885.58
2021-10-22 00:00:00,878.61
2021-10-15 00:00:00,872.06
2021-10-08 00:00:00,883.47
2021-10-01 00:00:00,877.28
2021-09-24 00:00:00,873.43
2021-09-17 00:00:00,867.04
2021-09-10 00:00:00,871.79
2021-09-03 00:00:00,872.67
2021-08-27 00:00:00,858.35
2021-08-20 00:00:00,875.6
2021-08-13 00:00:00,905.99
2021-08-06 00:00:00,909.36
2021-07-30 00:00:00,912.21
2021-07-23 00:00:00,932.0
2021-07-16 00:00:00,977.08
2021-07-09 00:00:00,966.37
2021-07-02 00:00:00,988.36
2021-06-25 00:00:00,1019.5
2021-06-18 00:00:00,1051.51
2021-06-11 00:00:00,1048.13
2021-06-04 00:00:00,1039.35
2021-05-28 00:00:00,1040.84
2021-05-21 00:00:00,1042.22
2021-05-14 00:00:00,1073.42
2021-05-07 00:00:00,1102.14
2021-04-30 00:00:00,1091.36
2021-04-23 00:00:00,1088.81
2021-04-16 00:00:00,1104.72
2021-04-09 00:00:00,1112.93
2021-04-02 00:00:00,1112.28
2021-03-26 00:00:00,1125.76
2021-03-19 00:00:00,1112.87
2021-03-12 00:00:00,1112.17
2021-03-05 00:00:00,1131.25
2021-02-26 00:00:00,1148.27
2021-02-19 00:00:00,1163.94
2021-02-05 00:00:00,1204.82
2021-01-29 00:00:00,1183.2
2021-01-22 00:00:00,1149.54
2021-01-15 00:00:00,1139.36
2021-01-08 00:00:00,1183.75
2021-01-01 00:00:00,1193.96
2020-12-25 00:00:00,1189.4
2020-12-18 00:00:00,1190.22
2020-12-11 00:00:00,1189.2
2020-12-04 00:00:00,1205.7
2020-11-27 00:00:00,1175.14
2020-11-20 00:00:00,1191.68
2020-11-13 00:00:00,1192.6
2020-11-06 00:00:00,1184.94
2020-10-30 00:00:00,1183.37
2020-10-23 00:00:00,1178.43
2020-10-16 00:00:00,1170.57
2020-10-09 00:00:00,1148.42
2020-10-02 00:00:00,1153.08
2020-09-25 00:00:00,1128.11
2020-09-18 00:00:00,1107.7
2020-09-11 00:00:00,1095.04
2020-09-04 00:00:00,1063.16
2020-08-28 00:00:00,1051.37
2020-08-21 00:00:00,1049.66
2020-08-14 00:00:00,1038.81
2020-08-07 00:00:00,1061.07
2020-07-31 00:00:00,1077.02
2020-07-24 00:00:00,1070.94
2020-07-17 00:00:00,1073.57
2020-07-10 00:00:00,1095.27
2020-07-03 00:00:00,1064.63
2020-06-26 00:00:00,1068.18
2020-06-19 00:00:00,1047.54
2020-06-12 00:00:00,1047.27
2020-06-05 00:00:00,1051.03
