指标名称,喷吹煤：247家钢铁企业：库存：中国（周）
指标编码,ID01109380
2026-01-09 00:00:00,417.98
2026-01-02 00:00:00,425.27
2025-12-26 00:00:00,424.75
2025-12-19 00:00:00,424.27
2025-12-12 00:00:00,422.86
2025-12-05 00:00:00,418.71
2025-11-28 00:00:00,428.68
2025-11-21 00:00:00,427.45
2025-11-14 00:00:00,425.25
2025-11-07 00:00:00,427.25
2025-10-31 00:00:00,422.52
2025-10-24 00:00:00,419.46
2025-10-17 00:00:00,421.7
2025-10-10 00:00:00,424.47
2025-10-03 00:00:00,427.75
2025-09-26 00:00:00,420.19
2025-09-19 00:00:00,415.34
2025-09-12 00:00:00,415.49
2025-09-05 00:00:00,421.09
2025-08-29 00:00:00,423.32
2025-08-22 00:00:00,423.46
2025-08-15 00:00:00,420.29
2025-08-08 00:00:00,412.6
2025-08-01 00:00:00,411.78
2025-07-25 00:00:00,419.44
2025-07-18 00:00:00,416.45
2025-07-11 00:00:00,413.62
2025-07-04 00:00:00,405.5
2025-06-27 00:00:00,406.61
2025-06-20 00:00:00,408.02
2025-06-13 00:00:00,412.38
2025-06-06 00:00:00,406.23
2025-05-30 00:00:00,401.78
2025-05-23 00:00:00,402.22
2025-05-16 00:00:00,405.05
2025-05-09 00:00:00,412.45
2025-05-02 00:00:00,411.9
2025-04-25 00:00:00,413.58
2025-04-18 00:00:00,403.77
2025-04-11 00:00:00,402.94
2025-04-04 00:00:00,406.58
2025-03-28 00:00:00,409.35
2025-03-21 00:00:00,397.57
2025-03-14 00:00:00,397.73
2025-03-07 00:00:00,397.34
2025-02-28 00:00:00,404.04
2025-02-21 00:00:00,404.26
2025-02-14 00:00:00,413.29
2025-02-07 00:00:00,418.36
2025-01-31 00:00:00,427.19
2025-01-24 00:00:00,436.95
2025-01-17 00:00:00,424.51
2025-01-10 00:00:00,417.41
2025-01-03 00:00:00,414.95
2024-12-27 00:00:00,414.79
2024-12-20 00:00:00,412.97
2024-12-13 00:00:00,407.91
2024-12-06 00:00:00,402.04
2024-11-29 00:00:00,398.97
2024-11-22 00:00:00,399.34
2024-11-15 00:00:00,394.98
2024-11-08 00:00:00,390.93
2024-11-01 00:00:00,389.6
2024-10-25 00:00:00,387.51
2024-10-18 00:00:00,389.39
2024-10-11 00:00:00,393.85
2024-10-04 00:00:00,392.53
2024-09-27 00:00:00,391.93
2024-09-20 00:00:00,389.29
2024-09-13 00:00:00,387.1
2024-09-06 00:00:00,387.83
2024-08-30 00:00:00,390.48
2024-08-23 00:00:00,392.91
2024-08-16 00:00:00,387.81
2024-08-09 00:00:00,390.96
2024-08-02 00:00:00,397.2
2024-07-26 00:00:00,404.83
2024-07-19 00:00:00,407.63
2024-07-12 00:00:00,402.91
2024-07-05 00:00:00,402.14
2024-06-28 00:00:00,400.24
2024-06-21 00:00:00,400.94
2024-06-14 00:00:00,396.64
2024-06-07 00:00:00,399.38
2024-05-31 00:00:00,402.19
2024-05-24 00:00:00,400.55
2024-05-17 00:00:00,403.11
2024-05-10 00:00:00,404.31
2024-05-03 00:00:00,401.0
2024-04-26 00:00:00,401.82
2024-04-19 00:00:00,399.22
2024-04-12 00:00:00,401.2
2024-04-05 00:00:00,404.26
2024-03-29 00:00:00,409.68
2024-03-22 00:00:00,413.03
2024-03-15 00:00:00,417.86
2024-03-08 00:00:00,425.54
2024-03-01 00:00:00,422.7
2024-02-23 00:00:00,428.87
2024-02-16 00:00:00,444.96
2024-02-09 00:00:00,461.51
2024-02-02 00:00:00,457.9
2024-01-26 00:00:00,444.3
2024-01-19 00:00:00,440.74
2024-01-12 00:00:00,429.86
2024-01-05 00:00:00,423.77
2023-12-29 00:00:00,425.66
2023-12-22 00:00:00,425.49
2023-12-15 00:00:00,438.02
2023-12-08 00:00:00,435.87
2023-12-01 00:00:00,430.38
2023-11-24 00:00:00,425.25
2023-11-17 00:00:00,420.28
2023-11-10 00:00:00,412.32
2023-11-03 00:00:00,400.87
2023-10-27 00:00:00,408.96
2023-10-20 00:00:00,415.37
2023-10-13 00:00:00,414.67
2023-10-06 00:00:00,408.32
2023-09-29 00:00:00,408.16
2023-09-22 00:00:00,400.92
2023-09-15 00:00:00,398.97
2023-09-08 00:00:00,395.19
2023-09-01 00:00:00,401.17
2023-08-25 00:00:00,398.33
2023-08-18 00:00:00,399.45
2023-08-11 00:00:00,397.12
2023-08-04 00:00:00,397.73
2023-07-28 00:00:00,409.74
2023-07-21 00:00:00,407.72
2023-07-14 00:00:00,411.48
2023-07-07 00:00:00,403.04
2023-06-30 00:00:00,405.11
2023-06-23 00:00:00,404.83
2023-06-16 00:00:00,400.1
2023-06-09 00:00:00,403.45
2023-06-02 00:00:00,406.89
2023-05-26 00:00:00,405.14
2023-05-19 00:00:00,414.28
2023-05-12 00:00:00,415.11
2023-05-05 00:00:00,421.35
2023-04-28 00:00:00,420.83
2023-04-21 00:00:00,434.25
2023-04-14 00:00:00,433.67
2023-04-07 00:00:00,436.71
2023-03-31 00:00:00,448.46
2023-03-24 00:00:00,452.82
2023-03-17 00:00:00,462.53
2023-03-10 00:00:00,465.6
2023-03-03 00:00:00,468.45
2023-02-24 00:00:00,468.88
2023-02-17 00:00:00,462.53
2023-02-10 00:00:00,467.56
2023-02-03 00:00:00,474.39
2023-01-27 00:00:00,493.65
2023-01-20 00:00:00,510.17
2023-01-13 00:00:00,494.58
2023-01-06 00:00:00,478.87
2022-12-30 00:00:00,471.27
2022-12-23 00:00:00,460.74
2022-12-16 00:00:00,447.35
2022-12-09 00:00:00,447.21
2022-12-02 00:00:00,436.14
2022-11-25 00:00:00,430.93
2022-11-18 00:00:00,428.82
2022-11-11 00:00:00,429.24
2022-11-04 00:00:00,432.63
2022-10-28 00:00:00,438.09
2022-10-21 00:00:00,442.05
2022-10-14 00:00:00,448.63
2022-10-07 00:00:00,444.75
2022-09-30 00:00:00,438.85
2022-09-23 00:00:00,436.03
2022-09-16 00:00:00,435.46
2022-09-09 00:00:00,436.61
2022-09-02 00:00:00,430.56
2022-08-26 00:00:00,433.92
2022-08-19 00:00:00,434.65
2022-08-12 00:00:00,427.14
2022-08-05 00:00:00,421.42
2022-07-29 00:00:00,433.45
2022-07-22 00:00:00,444.92
2022-07-15 00:00:00,456.73
2022-07-08 00:00:00,465.74
2022-07-01 00:00:00,479.55
2022-06-24 00:00:00,470.59
2022-06-17 00:00:00,485.28
2022-06-10 00:00:00,478.95
2022-06-03 00:00:00,488.09
2022-05-27 00:00:00,490.29
2022-05-20 00:00:00,489.42
2022-05-13 00:00:00,469.68
2022-05-06 00:00:00,467.92
2022-04-29 00:00:00,456.67
2022-04-22 00:00:00,452.57
2022-04-15 00:00:00,452.79
2022-04-08 00:00:00,453.15
2022-04-01 00:00:00,454.64
2022-03-25 00:00:00,461.83
2022-03-18 00:00:00,470.11
2022-03-11 00:00:00,470.93
2022-03-04 00:00:00,464.88
2022-02-25 00:00:00,467.0
2022-02-18 00:00:00,487.44
2022-02-11 00:00:00,493.43
2022-02-04 00:00:00,516.18
2022-01-28 00:00:00,529.3
2022-01-21 00:00:00,513.24
2022-01-14 00:00:00,501.58
2022-01-07 00:00:00,485.79
2021-12-31 00:00:00,475.13
2021-12-24 00:00:00,478.83
2021-12-17 00:00:00,470.35
2021-12-10 00:00:00,471.8
2021-12-03 00:00:00,463.95
2021-11-26 00:00:00,473.08
2021-11-19 00:00:00,476.85
2021-11-12 00:00:00,476.6
2021-11-05 00:00:00,480.33
2021-10-29 00:00:00,487.97
2021-10-22 00:00:00,490.36
2021-10-15 00:00:00,486.52
2021-10-08 00:00:00,487.04
2021-10-01 00:00:00,491.46
2021-09-24 00:00:00,501.37
2021-09-17 00:00:00,503.09
2021-09-10 00:00:00,507.74
2021-09-03 00:00:00,512.5
2021-08-27 00:00:00,513.19
2021-08-20 00:00:00,514.84
2021-08-13 00:00:00,518.97
2021-08-06 00:00:00,518.49
2021-07-30 00:00:00,516.71
2021-07-23 00:00:00,526.18
2021-07-16 00:00:00,543.0
2021-07-09 00:00:00,542.07
2021-07-02 00:00:00,543.38
2021-06-25 00:00:00,550.32
2021-06-18 00:00:00,563.63
2021-06-11 00:00:00,559.23
2021-06-04 00:00:00,549.18
2021-05-28 00:00:00,547.82
2021-05-21 00:00:00,541.52
2021-05-14 00:00:00,559.86
2021-05-07 00:00:00,559.12
2021-04-30 00:00:00,559.83
2021-04-23 00:00:00,557.43
2021-04-16 00:00:00,555.58
2021-04-09 00:00:00,558.65
2021-04-02 00:00:00,560.27
2021-03-26 00:00:00,576.47
2021-03-19 00:00:00,575.7
2021-03-12 00:00:00,584.86
2021-03-05 00:00:00,590.02
2021-02-26 00:00:00,590.8
2021-02-19 00:00:00,584.64
2021-02-05 00:00:00,598.52
2021-01-29 00:00:00,586.68
2021-01-22 00:00:00,581.75
2021-01-15 00:00:00,569.36
2021-01-08 00:00:00,562.1
2021-01-01 00:00:00,557.97
2020-12-25 00:00:00,556.41
2020-12-18 00:00:00,553.96
2020-12-11 00:00:00,543.96
2020-12-04 00:00:00,547.64
2020-11-27 00:00:00,544.73
2020-11-20 00:00:00,547.91
2020-11-13 00:00:00,547.29
2020-11-06 00:00:00,539.88
2020-10-30 00:00:00,540.44
2020-10-23 00:00:00,522.57
2020-10-16 00:00:00,515.96
2020-10-09 00:00:00,513.51
2020-10-02 00:00:00,521.94
2020-09-25 00:00:00,510.91
2020-09-18 00:00:00,517.41
2020-09-11 00:00:00,513.08
2020-09-04 00:00:00,508.36
2020-08-28 00:00:00,514.33
2020-08-21 00:00:00,518.1
2020-08-14 00:00:00,518.52
2020-08-07 00:00:00,520.62
2020-07-31 00:00:00,529.28
2020-07-24 00:00:00,524.73
2020-07-17 00:00:00,521.19
2020-07-10 00:00:00,512.48
2020-07-03 00:00:00,512.62
2020-06-26 00:00:00,510.12
2020-06-19 00:00:00,507.37
2020-06-12 00:00:00,509.75
2020-06-05 00:00:00,505.32
2020-05-29 00:00:00,507.52
2020-05-22 00:00:00,512.76
2020-05-15 00:00:00,512.08
2020-05-08 00:00:00,511.31
2020-05-01 00:00:00,510.57
2020-04-24 00:00:00,511.2
2020-04-17 00:00:00,515.07
2020-04-10 00:00:00,515.6
2020-04-03 00:00:00,515.3
2020-03-27 00:00:00,514.55
2020-03-20 00:00:00,513.66
2020-03-13 00:00:00,515.81
2020-03-06 00:00:00,512.76
2020-02-28 00:00:00,510.05
2020-02-21 00:00:00,504.23
2020-02-14 00:00:00,513.77
2020-02-07 00:00:00,519.92
2020-01-31 00:00:00,527.6
2020-01-24 00:00:00,540.85
2020-01-17 00:00:00,540.26
2020-01-10 00:00:00,541.59
2020-01-03 00:00:00,536.14
2019-12-27 00:00:00,527.82
2019-12-20 00:00:00,526.68
2019-12-13 00:00:00,524.09
2019-12-06 00:00:00,519.98
2019-11-29 00:00:00,521.33
2019-11-22 00:00:00,522.22
