指标名称,焦炭：247家钢铁企业：库存：中国（周）
指标编码,ID01109381
2026-01-09 00:00:00,645.73
2026-01-02 00:00:00,643.99
2025-12-26 00:00:00,642.2
2025-12-19 00:00:00,633.73
2025-12-12 00:00:00,635.28
2025-12-05 00:00:00,625.25
2025-11-28 00:00:00,625.52
2025-11-21 00:00:00,622.34
2025-11-14 00:00:00,622.4
2025-11-07 00:00:00,626.64
2025-10-31 00:00:00,629.05
2025-10-24 00:00:00,633.16
2025-10-17 00:00:00,639.44
2025-10-10 00:00:00,650.82
2025-10-03 00:00:00,663.4
2025-09-26 00:00:00,661.31
2025-09-19 00:00:00,644.67
2025-09-12 00:00:00,633.29
2025-09-05 00:00:00,623.71
2025-08-29 00:00:00,610.07
2025-08-22 00:00:00,609.59
2025-08-15 00:00:00,609.8
2025-08-08 00:00:00,619.28
2025-08-01 00:00:00,626.69
2025-07-25 00:00:00,639.98
2025-07-18 00:00:00,638.99
2025-07-11 00:00:00,637.8
2025-07-04 00:00:00,637.49
2025-06-27 00:00:00,627.75
2025-06-20 00:00:00,634.2
2025-06-13 00:00:00,642.84
2025-06-06 00:00:00,645.8
2025-05-30 00:00:00,654.93
2025-05-23 00:00:00,660.59
2025-05-16 00:00:00,663.8
2025-05-09 00:00:00,671.03
2025-05-02 00:00:00,675.22
2025-04-25 00:00:00,666.35
2025-04-18 00:00:00,664.4
2025-04-11 00:00:00,667.99
2025-04-04 00:00:00,672.87
2025-03-28 00:00:00,668.12
2025-03-21 00:00:00,662.83
2025-03-14 00:00:00,678.41
2025-03-07 00:00:00,679.16
2025-02-28 00:00:00,680.95
2025-02-21 00:00:00,679.43
2025-02-14 00:00:00,685.5
2025-02-07 00:00:00,690.96
2025-01-31 00:00:00,700.74
2025-01-24 00:00:00,716.23
2025-01-17 00:00:00,683.37
2025-01-10 00:00:00,673.94
2025-01-03 00:00:00,654.93
2024-12-27 00:00:00,645.12
2024-12-20 00:00:00,631.59
2024-12-13 00:00:00,623.55
2024-12-06 00:00:00,604.1
2024-11-29 00:00:00,603.82
2024-11-22 00:00:00,595.64
2024-11-15 00:00:00,579.02
2024-11-08 00:00:00,581.52
2024-11-01 00:00:00,578.79
2024-10-25 00:00:00,568.08
2024-10-18 00:00:00,562.99
2024-10-11 00:00:00,560.5
2024-10-04 00:00:00,555.92
2024-09-27 00:00:00,560.65
2024-09-20 00:00:00,542.68
2024-09-13 00:00:00,543.58
2024-09-06 00:00:00,542.57
2024-08-30 00:00:00,541.88
2024-08-23 00:00:00,536.99
2024-08-16 00:00:00,533.78
2024-08-09 00:00:00,536.23
2024-08-02 00:00:00,543.16
2024-07-26 00:00:00,543.02
2024-07-19 00:00:00,552.21
2024-07-12 00:00:00,538.51
2024-07-05 00:00:00,552.83
2024-06-28 00:00:00,557.39
2024-06-21 00:00:00,556.11
2024-06-14 00:00:00,556.51
2024-06-07 00:00:00,560.59
2024-05-31 00:00:00,561.87
2024-05-24 00:00:00,558.6
2024-05-17 00:00:00,557.63
2024-05-10 00:00:00,556.71
2024-05-03 00:00:00,544.89
2024-04-26 00:00:00,553.82
2024-04-19 00:00:00,593.92
2024-04-12 00:00:00,598.82
2024-04-05 00:00:00,597.34
2024-03-29 00:00:00,595.08
2024-03-22 00:00:00,598.37
2024-03-15 00:00:00,609.03
2024-03-08 00:00:00,634.79
2024-03-01 00:00:00,635.83
2024-02-23 00:00:00,639.49
2024-02-16 00:00:00,656.68
2024-02-09 00:00:00,686.65
2024-02-02 00:00:00,688.61
2024-01-26 00:00:00,674.23
2024-01-19 00:00:00,659.72
2024-01-12 00:00:00,647.56
2024-01-05 00:00:00,632.45
2023-12-29 00:00:00,611.18
2023-12-22 00:00:00,578.06
2023-12-15 00:00:00,579.59
2023-12-08 00:00:00,584.46
2023-12-01 00:00:00,582.47
2023-11-24 00:00:00,578.67
2023-11-17 00:00:00,586.28
2023-11-10 00:00:00,584.64
2023-11-03 00:00:00,571.94
2023-10-27 00:00:00,559.51
2023-10-20 00:00:00,560.99
2023-10-13 00:00:00,565.21
2023-10-06 00:00:00,572.58
2023-09-29 00:00:00,582.1
2023-09-22 00:00:00,586.82
2023-09-15 00:00:00,591.0
2023-09-08 00:00:00,595.86
2023-09-01 00:00:00,585.49
2023-08-25 00:00:00,570.56
2023-08-18 00:00:00,546.04
2023-08-11 00:00:00,538.42
2023-08-04 00:00:00,552.2
2023-07-28 00:00:00,562.53
2023-07-21 00:00:00,577.92
2023-07-14 00:00:00,590.73
2023-07-07 00:00:00,591.77
2023-06-30 00:00:00,604.17
2023-06-23 00:00:00,600.84
2023-06-16 00:00:00,601.23
2023-06-09 00:00:00,602.79
2023-06-02 00:00:00,609.56
2023-05-26 00:00:00,616.18
2023-05-19 00:00:00,617.74
2023-05-12 00:00:00,613.33
2023-05-05 00:00:00,624.11
2023-04-28 00:00:00,615.85
2023-04-21 00:00:00,626.94
2023-04-14 00:00:00,639.29
2023-04-07 00:00:00,649.77
2023-03-31 00:00:00,653.86
2023-03-24 00:00:00,644.66
2023-03-17 00:00:00,658.13
2023-03-10 00:00:00,667.87
2023-03-03 00:00:00,672.42
2023-02-24 00:00:00,659.84
2023-02-17 00:00:00,650.16
2023-02-10 00:00:00,651.66
2023-02-03 00:00:00,641.21
2023-01-27 00:00:00,639.76
2023-01-20 00:00:00,680.07
2023-01-13 00:00:00,668.19
2023-01-06 00:00:00,633.39
2022-12-30 00:00:00,606.11
2022-12-23 00:00:00,586.01
2022-12-16 00:00:00,592.67
2022-12-09 00:00:00,580.27
2022-12-02 00:00:00,584.87
2022-11-25 00:00:00,587.98
2022-11-18 00:00:00,599.42
2022-11-11 00:00:00,590.25
2022-11-04 00:00:00,590.44
2022-10-28 00:00:00,603.96
2022-10-21 00:00:00,626.96
2022-10-14 00:00:00,632.43
2022-10-07 00:00:00,647.73
2022-09-30 00:00:00,645.3
2022-09-23 00:00:00,648.03
2022-09-16 00:00:00,621.66
2022-09-09 00:00:00,619.51
2022-09-02 00:00:00,614.63
2022-08-26 00:00:00,590.5
2022-08-19 00:00:00,578.72
2022-08-12 00:00:00,570.36
2022-08-05 00:00:00,577.76
2022-07-29 00:00:00,582.14
2022-07-22 00:00:00,594.27
2022-07-15 00:00:00,612.86
2022-07-08 00:00:00,606.75
2022-07-01 00:00:00,607.76
2022-06-24 00:00:00,604.57
2022-06-17 00:00:00,635.85
2022-06-10 00:00:00,660.75
2022-06-03 00:00:00,667.77
2022-05-27 00:00:00,683.06
2022-05-20 00:00:00,679.12
2022-05-13 00:00:00,677.9
2022-05-06 00:00:00,676.68
2022-04-29 00:00:00,654.35
2022-04-22 00:00:00,638.07
2022-04-15 00:00:00,651.8
2022-04-08 00:00:00,695.03
2022-04-01 00:00:00,707.41
2022-03-25 00:00:00,698.25
2022-03-18 00:00:00,746.78
2022-03-11 00:00:00,720.74
2022-03-04 00:00:00,733.17
2022-02-25 00:00:00,757.66
2022-02-18 00:00:00,748.97
2022-02-11 00:00:00,745.3
2022-02-04 00:00:00,748.57
2022-01-28 00:00:00,746.88
2022-01-21 00:00:00,727.97
2022-01-14 00:00:00,704.63
2022-01-07 00:00:00,688.72
2021-12-31 00:00:00,688.03
2021-12-24 00:00:00,684.23
2021-12-17 00:00:00,691.47
2021-12-10 00:00:00,688.06
2021-12-03 00:00:00,675.84
2021-11-26 00:00:00,674.52
2021-11-19 00:00:00,677.82
2021-11-12 00:00:00,707.76
2021-11-05 00:00:00,715.92
2021-10-29 00:00:00,722.84
2021-10-22 00:00:00,731.5
2021-10-15 00:00:00,730.44
2021-10-08 00:00:00,734.4
2021-10-01 00:00:00,747.66
2021-09-24 00:00:00,739.5
2021-09-17 00:00:00,730.35
2021-09-10 00:00:00,738.04
2021-09-03 00:00:00,737.06
2021-08-27 00:00:00,719.7
2021-08-20 00:00:00,710.02
2021-08-13 00:00:00,718.73
2021-08-06 00:00:00,729.87
2021-07-30 00:00:00,747.12
2021-07-23 00:00:00,759.83
2021-07-16 00:00:00,801.56
2021-07-09 00:00:00,798.3
2021-07-02 00:00:00,770.86
2021-06-25 00:00:00,760.24
2021-06-18 00:00:00,763.33
2021-06-11 00:00:00,776.98
2021-06-04 00:00:00,772.12
2021-05-28 00:00:00,760.53
2021-05-21 00:00:00,742.44
2021-05-14 00:00:00,751.73
2021-05-07 00:00:00,765.71
2021-04-30 00:00:00,794.6
2021-04-23 00:00:00,822.35
2021-04-16 00:00:00,830.32
2021-04-09 00:00:00,840.25
2021-04-02 00:00:00,850.2
2021-03-26 00:00:00,855.22
2021-03-19 00:00:00,852.09
2021-03-12 00:00:00,850.77
2021-03-05 00:00:00,843.11
2021-02-26 00:00:00,825.33
2021-02-19 00:00:00,783.27
2021-02-05 00:00:00,795.14
2021-01-29 00:00:00,768.79
2021-01-22 00:00:00,738.89
2021-01-15 00:00:00,756.6
2021-01-08 00:00:00,805.27
2021-01-01 00:00:00,815.16
2020-12-25 00:00:00,818.56
2020-12-18 00:00:00,835.07
2020-12-11 00:00:00,854.76
2020-12-04 00:00:00,864.42
2020-11-27 00:00:00,872.4
2020-11-20 00:00:00,863.12
2020-11-13 00:00:00,870.12
2020-11-06 00:00:00,861.8
2020-10-30 00:00:00,864.6
2020-10-23 00:00:00,860.28
2020-10-16 00:00:00,848.78
2020-10-09 00:00:00,857.15
2020-10-02 00:00:00,859.15
2020-09-25 00:00:00,858.11
2020-09-18 00:00:00,863.47
2020-09-11 00:00:00,865.99
2020-09-04 00:00:00,870.86
2020-08-28 00:00:00,895.3
2020-08-21 00:00:00,900.59
2020-08-14 00:00:00,913.72
2020-08-07 00:00:00,927.64
2020-07-31 00:00:00,930.06
2020-07-24 00:00:00,911.39
2020-07-17 00:00:00,932.12
2020-07-10 00:00:00,941.72
2020-07-03 00:00:00,940.35
2020-06-26 00:00:00,912.6
2020-06-19 00:00:00,918.69
2020-06-12 00:00:00,899.34
2020-06-05 00:00:00,902.12
2020-05-29 00:00:00,920.58
2020-05-22 00:00:00,932.89
2020-05-15 00:00:00,902.53
2020-05-08 00:00:00,899.61
2020-05-01 00:00:00,909.67
2020-04-24 00:00:00,904.87
2020-04-17 00:00:00,921.18
2020-04-10 00:00:00,928.14
2020-04-03 00:00:00,923.48
2020-03-27 00:00:00,917.66
2020-03-20 00:00:00,921.21
2020-03-13 00:00:00,907.26
2020-03-06 00:00:00,909.57
2020-02-28 00:00:00,891.99
2020-02-21 00:00:00,886.21
2020-02-14 00:00:00,885.12
2020-02-07 00:00:00,900.16
2020-01-31 00:00:00,907.59
2020-01-24 00:00:00,956.71
2020-01-17 00:00:00,950.43
2020-01-10 00:00:00,942.13
2020-01-03 00:00:00,935.95
2019-12-27 00:00:00,924.34
2019-12-20 00:00:00,924.99
2019-12-13 00:00:00,928.21
2019-12-06 00:00:00,926.92
2019-11-29 00:00:00,916.38
2019-11-22 00:00:00,909.47
2019-11-15 00:00:00,897.34
2019-11-08 00:00:00,896.34
2019-11-01 00:00:00,904.44
2019-10-25 00:00:00,910.79
2019-10-18 00:00:00,898.82
2019-10-11 00:00:00,902.81
2019-10-04 00:00:00,899.37
2019-09-27 00:00:00,885.68
2019-09-20 00:00:00,887.41
2019-09-13 00:00:00,893.58
2019-09-06 00:00:00,888.91
2019-08-30 00:00:00,880.15
2019-08-23 00:00:00,889.45
2019-08-16 00:00:00,884.0
2019-08-09 00:00:00,881.97
2019-08-02 00:00:00,880.48
2019-07-26 00:00:00,878.8
2019-07-19 00:00:00,877.83
2019-07-12 00:00:00,882.72
2019-07-05 00:00:00,887.92
2019-06-28 00:00:00,884.23
2019-06-21 00:00:00,888.21
2019-06-14 00:00:00,871.18
2019-06-07 00:00:00,861.93
2019-05-31 00:00:00,854.77
2019-05-24 00:00:00,852.72
2019-05-17 00:00:00,855.37
2019-05-10 00:00:00,858.73
2019-05-03 00:00:00,869.16
2019-04-26 00:00:00,874.2
2019-04-19 00:00:00,888.23
2019-04-12 00:00:00,894.65
2019-04-05 00:00:00,901.09
2019-03-29 00:00:00,903.54
2019-03-22 00:00:00,892.0
2019-03-15 00:00:00,886.71
2019-03-08 00:00:00,878.26
2019-03-01 00:00:00,878.52
2019-02-22 00:00:00,872.75
2019-02-15 00:00:00,873.05
2019-02-08 00:00:00,871.14
2019-02-01 00:00:00,915.85
2019-01-25 00:00:00,912.44
2019-01-18 00:00:00,892.37
2019-01-11 00:00:00,883.78
2019-01-04 00:00:00,879.53
2018-12-28 00:00:00,878.16
2018-12-21 00:00:00,871.58
2018-12-14 00:00:00,870.87
2018-12-07 00:00:00,865.7
2018-11-30 00:00:00,858.88
2018-11-23 00:00:00,856.43
2018-11-16 00:00:00,848.91
2018-11-09 00:00:00,849.96
2018-11-02 00:00:00,854.89
2018-10-26 00:00:00,851.7
2018-10-19 00:00:00,861.89
2018-10-12 00:00:00,865.1
2018-10-05 00:00:00,860.65
2018-09-28 00:00:00,851.29
2018-09-21 00:00:00,850.78
2018-09-14 00:00:00,845.62
2018-09-07 00:00:00,832.98
2018-08-31 00:00:00,819.71
2018-08-24 00:00:00,822.81
2018-08-17 00:00:00,827.28
2018-08-10 00:00:00,833.27
2018-08-03 00:00:00,837.23
2018-07-27 00:00:00,844.91
2018-07-20 00:00:00,864.16
2018-07-13 00:00:00,849.64
2018-07-06 00:00:00,855.78
2018-06-29 00:00:00,848.23
2018-06-22 00:00:00,851.04
2018-06-15 00:00:00,857.66
2018-06-08 00:00:00,844.42
2018-06-01 00:00:00,848.72
2018-05-25 00:00:00,859.18
2018-05-18 00:00:00,871.01
2018-05-11 00:00:00,879.99
2018-05-04 00:00:00,894.7
2018-04-27 00:00:00,889.83
2018-04-20 00:00:00,906.72
2018-04-13 00:00:00,898.1
2018-04-06 00:00:00,919.45
2018-03-30 00:00:00,928.33
2018-03-23 00:00:00,926.3
2018-03-16 00:00:00,930.36
2018-03-09 00:00:00,930.12
2018-03-02 00:00:00,927.33
2018-02-23 00:00:00,904.58
2018-02-09 00:00:00,919.64
2018-02-02 00:00:00,909.55
2018-01-26 00:00:00,909.0
2018-01-19 00:00:00,891.2
2018-01-12 00:00:00,884.95
2018-01-05 00:00:00,887.83
2017-12-29 00:00:00,882.75
2017-12-22 00:00:00,852.95
2017-12-15 00:00:00,843.59
2017-12-08 00:00:00,839.44
2017-12-01 00:00:00,845.14
2017-11-24 00:00:00,855.73
2017-11-17 00:00:00,866.76
2017-11-10 00:00:00,876.41
2017-11-03 00:00:00,897.22
2017-10-27 00:00:00,894.0
2017-10-20 00:00:00,896.32
2017-10-13 00:00:00,900.07
2017-10-06 00:00:00,886.63
2017-09-29 00:00:00,910.17
2017-09-22 00:00:00,899.42
2017-09-15 00:00:00,895.06
2017-09-08 00:00:00,884.28
2017-09-01 00:00:00,889.0
2017-08-25 00:00:00,863.72
2017-08-18 00:00:00,864.79
2017-08-11 00:00:00,881.1
2017-08-04 00:00:00,876.25
2017-07-28 00:00:00,873.22
2017-07-21 00:00:00,874.17
2017-07-14 00:00:00,872.95
2017-07-07 00:00:00,871.1
2017-06-30 00:00:00,869.55
2017-06-23 00:00:00,858.95
2017-06-16 00:00:00,843.47
2017-06-09 00:00:00,834.48
2017-06-02 00:00:00,841.4
2017-05-26 00:00:00,841.28
2017-05-19 00:00:00,835.04
2017-05-12 00:00:00,859.14
2017-05-05 00:00:00,852.85
2017-04-28 00:00:00,846.72
2017-04-21 00:00:00,837.34
2017-04-14 00:00:00,844.68
2017-04-07 00:00:00,854.39
2017-03-31 00:00:00,846.19
2017-03-24 00:00:00,841.72
2017-03-17 00:00:00,848.47
2017-03-10 00:00:00,868.13
2017-03-03 00:00:00,868.13
2017-02-24 00:00:00,868.13
2017-02-17 00:00:00,868.18
2017-02-10 00:00:00,836.32
2017-02-03 00:00:00,837.99
2017-01-20 00:00:00,873.49
2017-01-13 00:00:00,857.44
2017-01-06 00:00:00,812.95
2016-12-30 00:00:00,818.67
2016-12-23 00:00:00,778.86
2016-12-16 00:00:00,763.49
2016-12-09 00:00:00,741.86
2016-12-02 00:00:00,758.71
2016-11-25 00:00:00,737.44
2016-11-18 00:00:00,726.11
2016-11-11 00:00:00,716.29
2016-11-04 00:00:00,706.97
2016-10-28 00:00:00,726.04
2016-10-21 00:00:00,722.5
2016-10-14 00:00:00,741.34
2016-10-07 00:00:00,726.14
2016-09-30 00:00:00,727.96
2016-09-23 00:00:00,719.79
2016-09-16 00:00:00,710.18
2016-09-09 00:00:00,701.04
2016-09-02 00:00:00,711.23
2016-08-26 00:00:00,710.46
2016-08-19 00:00:00,721.88
2016-08-12 00:00:00,728.13
2016-08-05 00:00:00,735.36
2016-07-29 00:00:00,740.46
2016-07-22 00:00:00,763.45
2016-07-15 00:00:00,760.33
2016-07-08 00:00:00,772.72
2016-07-01 00:00:00,791.09
2016-06-24 00:00:00,782.26
2016-06-17 00:00:00,787.36
2016-06-10 00:00:00,781.08
2016-06-03 00:00:00,772.3
2016-05-27 00:00:00,768.03
2016-05-20 00:00:00,754.91
2016-05-13 00:00:00,737.38
2016-05-06 00:00:00,759.03
2016-04-29 00:00:00,787.59
2016-04-22 00:00:00,783.52
2016-04-15 00:00:00,791.25
2016-04-08 00:00:00,768.71
2016-04-01 00:00:00,792.61
2016-03-25 00:00:00,806.88
2016-03-18 00:00:00,817.13
2016-03-11 00:00:00,833.08
2016-03-04 00:00:00,819.02
2016-02-26 00:00:00,793.27
2016-02-19 00:00:00,795.66
2016-02-12 00:00:00,798.05
2016-01-29 00:00:00,823.87
2016-01-22 00:00:00,825.35
2016-01-15 00:00:00,828.01
2016-01-08 00:00:00,803.65
2016-01-01 00:00:00,811.33
2015-12-25 00:00:00,795.46
2015-12-18 00:00:00,797.53
2015-12-11 00:00:00,789.18
2015-12-04 00:00:00,776.64
2015-11-27 00:00:00,816.2
2015-11-20 00:00:00,820.65
2015-11-13 00:00:00,828.55
2015-11-06 00:00:00,834.62
2015-10-30 00:00:00,845.99
2015-10-23 00:00:00,845.96
2015-10-16 00:00:00,844.21
2015-10-09 00:00:00,837.8
2015-09-25 00:00:00,863.2
2015-09-18 00:00:00,835.58
2015-09-11 00:00:00,839.39
2015-09-04 00:00:00,849.55
2015-08-28 00:00:00,845.24
2015-08-21 00:00:00,842.0
2015-08-14 00:00:00,847.51
2015-08-07 00:00:00,851.17
2015-07-31 00:00:00,851.12
2015-07-24 00:00:00,833.72
2015-07-17 00:00:00,855.49
2015-07-10 00:00:00,850.83
2015-07-03 00:00:00,871.73
2015-06-26 00:00:00,876.35
2015-06-19 00:00:00,865.77
2015-06-12 00:00:00,879.74
2015-06-05 00:00:00,881.65
2015-05-29 00:00:00,884.24
2015-05-22 00:00:00,862.21
2015-05-15 00:00:00,876.27
2015-05-08 00:00:00,882.05
2015-05-01 00:00:00,894.78
2015-04-24 00:00:00,898.44
2015-04-17 00:00:00,906.78
2015-04-10 00:00:00,903.11
2015-04-03 00:00:00,905.16
2015-03-27 00:00:00,924.73
2015-03-20 00:00:00,923.31
2015-03-13 00:00:00,906.94
2015-03-06 00:00:00,903.54
2015-02-27 00:00:00,932.75
2015-02-13 00:00:00,950.41
2015-02-06 00:00:00,930.58
2015-01-30 00:00:00,935.99
2015-01-23 00:00:00,931.79
2015-01-16 00:00:00,933.24
2015-01-09 00:00:00,903.58
2015-01-02 00:00:00,903.91
2014-12-26 00:00:00,888.3
2014-12-19 00:00:00,902.41
2014-12-12 00:00:00,889.12
2014-12-05 00:00:00,904.66
2014-11-28 00:00:00,900.15
2014-11-21 00:00:00,892.28
2014-11-14 00:00:00,878.0
2014-11-07 00:00:00,875.3
2014-10-31 00:00:00,892.63
2014-10-24 00:00:00,894.41
2014-10-17 00:00:00,872.29
2014-10-10 00:00:00,879.13
2014-09-26 00:00:00,880.05
2014-09-19 00:00:00,875.48
2014-09-12 00:00:00,895.1
2014-09-05 00:00:00,888.52
2014-08-29 00:00:00,888.75
2014-08-22 00:00:00,893.1
2014-08-15 00:00:00,892.91
