指标名称,焦炭：247家钢铁企业：产能利用率：中国（周）
指标编码,ID01109382
2026-01-09 00:00:00,85.67
2026-01-02 00:00:00,85.58
2025-12-26 00:00:00,85.52
2025-12-19 00:00:00,85.73
2025-12-12 00:00:00,85.95
2025-12-05 00:00:00,85.97
2025-11-28 00:00:00,85.42
2025-11-21 00:00:00,85.23
2025-11-14 00:00:00,85.14
2025-11-07 00:00:00,84.99
2025-10-31 00:00:00,85.21
2025-10-24 00:00:00,85.03
2025-10-17 00:00:00,84.72
2025-10-10 00:00:00,85.53
2025-10-03 00:00:00,85.82
2025-09-26 00:00:00,85.64
2025-09-19 00:00:00,86.03
2025-09-12 00:00:00,85.93
2025-09-05 00:00:00,84.31
2025-08-29 00:00:00,84.99
2025-08-22 00:00:00,86.17
2025-08-15 00:00:00,86.17
2025-08-08 00:00:00,86.3
2025-08-01 00:00:00,86.62
2025-07-25 00:00:00,86.97
2025-07-18 00:00:00,86.84
2025-07-11 00:00:00,87.02
2025-07-04 00:00:00,87.52
2025-06-27 00:00:00,87.46
2025-06-20 00:00:00,87.39
2025-06-13 00:00:00,87.12
2025-06-06 00:00:00,87.22
2025-05-30 00:00:00,87.3
2025-05-23 00:00:00,87.21
2025-05-16 00:00:00,87.22
2025-05-09 00:00:00,87.22
2025-05-02 00:00:00,87.37
2025-04-25 00:00:00,87.55
2025-04-18 00:00:00,87.42
2025-04-11 00:00:00,87.44
2025-04-04 00:00:00,87.38
2025-03-28 00:00:00,87.66
2025-03-21 00:00:00,87.46
2025-03-14 00:00:00,87.2
2025-03-07 00:00:00,86.9
2025-02-28 00:00:00,87.06
2025-02-21 00:00:00,86.59
2025-02-14 00:00:00,86.89
2025-02-07 00:00:00,86.83
2025-01-31 00:00:00,86.28
2025-01-24 00:00:00,84.98
2025-01-17 00:00:00,85.93
2025-01-10 00:00:00,86.24
2025-01-03 00:00:00,85.87
2024-12-27 00:00:00,86.26
2024-12-20 00:00:00,86.5
2024-12-13 00:00:00,86.47
2024-12-06 00:00:00,86.67
2024-11-29 00:00:00,86.37
2024-11-22 00:00:00,86.37
2024-11-15 00:00:00,86.52
2024-11-08 00:00:00,86.61
2024-11-01 00:00:00,86.58
2024-10-25 00:00:00,86.52
2024-10-18 00:00:00,86.5
2024-10-11 00:00:00,85.78
2024-10-04 00:00:00,86.11
2024-09-27 00:00:00,86.11
2024-09-20 00:00:00,86.08
2024-09-13 00:00:00,86.15
2024-09-06 00:00:00,85.6
2024-08-30 00:00:00,86.71
2024-08-23 00:00:00,86.82
2024-08-16 00:00:00,87.0
2024-08-09 00:00:00,87.15
2024-08-02 00:00:00,86.93
2024-07-26 00:00:00,86.66
2024-07-19 00:00:00,87.05
2024-07-12 00:00:00,87.67
2024-07-05 00:00:00,87.3
2024-06-28 00:00:00,87.3
2024-06-21 00:00:00,87.57
2024-06-14 00:00:00,87.54
2024-06-07 00:00:00,87.54
2024-05-31 00:00:00,87.52
2024-05-24 00:00:00,87.3
2024-05-17 00:00:00,87.61
2024-05-10 00:00:00,87.61
2024-05-03 00:00:00,87.5
2024-04-26 00:00:00,87.09
2024-04-19 00:00:00,87.09
2024-04-12 00:00:00,86.33
2024-04-05 00:00:00,86.14
2024-03-29 00:00:00,86.14
2024-03-22 00:00:00,86.14
2024-03-15 00:00:00,87.0
2024-03-08 00:00:00,86.79
2024-03-01 00:00:00,87.17
2024-02-23 00:00:00,87.48
2024-02-16 00:00:00,87.48
2024-02-09 00:00:00,87.5
2024-02-02 00:00:00,87.41
2024-01-26 00:00:00,87.07
2024-01-19 00:00:00,87.09
2024-01-12 00:00:00,87.05
2024-01-05 00:00:00,86.76
2023-12-29 00:00:00,86.61
2023-12-22 00:00:00,86.53
2023-12-15 00:00:00,86.55
2023-12-08 00:00:00,86.31
2023-12-01 00:00:00,86.57
2023-11-24 00:00:00,85.96
2023-11-17 00:00:00,86.4
2023-11-10 00:00:00,86.37
2023-11-03 00:00:00,86.25
2023-10-27 00:00:00,86.23
2023-10-20 00:00:00,85.64
2023-10-13 00:00:00,86.92
2023-10-06 00:00:00,86.26
2023-09-29 00:00:00,86.26
2023-09-22 00:00:00,86.24
2023-09-15 00:00:00,85.5
2023-09-08 00:00:00,85.19
2023-09-01 00:00:00,85.36
2023-08-25 00:00:00,85.61
2023-08-18 00:00:00,85.78
2023-08-11 00:00:00,84.47
2023-08-04 00:00:00,85.17
2023-07-28 00:00:00,85.11
2023-07-21 00:00:00,85.36
2023-07-14 00:00:00,85.93
2023-07-07 00:00:00,86.58
2023-06-30 00:00:00,87.19
2023-06-23 00:00:00,87.37
2023-06-16 00:00:00,86.4
2023-06-09 00:00:00,86.58
2023-06-02 00:00:00,86.73
2023-05-26 00:00:00,86.84
2023-05-19 00:00:00,86.56
2023-05-12 00:00:00,87.08
2023-05-05 00:00:00,87.15
2023-04-28 00:00:00,87.39
2023-04-21 00:00:00,86.63
2023-04-14 00:00:00,86.56
2023-04-07 00:00:00,87.72
2023-03-31 00:00:00,87.39
2023-03-24 00:00:00,86.6
2023-03-17 00:00:00,86.82
2023-03-10 00:00:00,86.73
2023-03-03 00:00:00,87.38
2023-02-24 00:00:00,87.21
2023-02-17 00:00:00,87.13
2023-02-10 00:00:00,86.67
2023-02-03 00:00:00,86.4
2023-01-27 00:00:00,86.03
2023-01-20 00:00:00,86.03
2023-01-13 00:00:00,85.96
2023-01-06 00:00:00,85.92
2022-12-30 00:00:00,85.74
2022-12-23 00:00:00,86.73
2022-12-16 00:00:00,86.33
2022-12-09 00:00:00,86.1
2022-12-02 00:00:00,85.37
2022-11-25 00:00:00,85.28
2022-11-18 00:00:00,85.18
2022-11-11 00:00:00,85.21
2022-11-04 00:00:00,85.14
2022-10-28 00:00:00,85.01
2022-10-21 00:00:00,85.35
2022-10-14 00:00:00,85.61
2022-10-07 00:00:00,85.7
2022-09-30 00:00:00,85.68
2022-09-23 00:00:00,86.36
2022-09-16 00:00:00,86.19
2022-09-09 00:00:00,85.79
2022-09-02 00:00:00,86.36
2022-08-26 00:00:00,85.72
2022-08-19 00:00:00,85.75
2022-08-12 00:00:00,85.64
2022-08-05 00:00:00,84.04
2022-07-29 00:00:00,85.75
2022-07-22 00:00:00,86.64
2022-07-15 00:00:00,87.89
2022-07-08 00:00:00,88.51
2022-07-01 00:00:00,89.44
2022-06-24 00:00:00,89.45
2022-06-17 00:00:00,89.72
2022-06-10 00:00:00,89.78
2022-06-03 00:00:00,89.23
2022-05-27 00:00:00,88.56
2022-05-20 00:00:00,88.39
2022-05-13 00:00:00,88.42
2022-05-06 00:00:00,87.29
2022-04-29 00:00:00,87.14
2022-04-22 00:00:00,87.76
2022-04-15 00:00:00,87.5
2022-04-08 00:00:00,88.08
2022-04-01 00:00:00,88.01
2022-03-25 00:00:00,87.31
2022-03-18 00:00:00,88.01
2022-03-11 00:00:00,85.75
2022-03-04 00:00:00,87.12
2022-02-25 00:00:00,85.82
2022-02-18 00:00:00,84.75
2022-02-11 00:00:00,84.32
2022-02-04 00:00:00,87.28
2022-01-28 00:00:00,87.32
2022-01-21 00:00:00,86.09
2022-01-14 00:00:00,86.8
2022-01-07 00:00:00,86.13
2021-12-31 00:00:00,84.56
2021-12-24 00:00:00,84.27
2021-12-17 00:00:00,84.22
2021-12-10 00:00:00,84.75
2021-12-03 00:00:00,83.43
2021-11-26 00:00:00,86.21
2021-11-19 00:00:00,84.38
2021-11-12 00:00:00,83.07
2021-11-05 00:00:00,83.52
2021-10-29 00:00:00,84.91
2021-10-22 00:00:00,84.8
2021-10-15 00:00:00,84.11
2021-10-08 00:00:00,83.9
2021-10-01 00:00:00,84.01
2021-09-24 00:00:00,85.4
2021-09-17 00:00:00,85.53
2021-09-10 00:00:00,86.54
2021-09-03 00:00:00,86.7
2021-08-27 00:00:00,87.67
2021-08-20 00:00:00,87.45
2021-08-13 00:00:00,86.96
2021-08-06 00:00:00,87.46
2021-07-30 00:00:00,86.86
2021-07-23 00:00:00,87.16
2021-07-16 00:00:00,87.21
2021-07-09 00:00:00,87.21
2021-07-02 00:00:00,85.88
2021-06-25 00:00:00,89.0
2021-06-18 00:00:00,88.83
2021-06-11 00:00:00,89.07
2021-06-04 00:00:00,89.75
2021-05-28 00:00:00,88.23
2021-05-21 00:00:00,88.18
2021-05-14 00:00:00,88.18
2021-05-07 00:00:00,88.14
2021-04-30 00:00:00,87.64
2021-04-23 00:00:00,87.81
2021-04-16 00:00:00,88.11
2021-04-09 00:00:00,88.65
2021-04-02 00:00:00,90.26
2021-03-26 00:00:00,90.95
2021-03-19 00:00:00,91.68
2021-03-12 00:00:00,91.53
2021-03-05 00:00:00,91.96
2021-02-26 00:00:00,91.74
2021-02-19 00:00:00,90.82
2021-02-05 00:00:00,91.22
2021-01-29 00:00:00,90.87
2021-01-22 00:00:00,90.68
2021-01-15 00:00:00,91.03
2021-01-08 00:00:00,91.53
2021-01-01 00:00:00,91.85
2020-12-25 00:00:00,91.37
2020-12-18 00:00:00,92.02
2020-12-11 00:00:00,91.05
2020-12-04 00:00:00,92.08
2020-11-27 00:00:00,92.35
2020-11-20 00:00:00,91.56
2020-11-13 00:00:00,91.86
2020-11-06 00:00:00,91.69
2020-10-30 00:00:00,91.49
2020-10-23 00:00:00,91.92
2020-10-16 00:00:00,92.06
2020-10-09 00:00:00,91.28
2020-10-02 00:00:00,89.82
2020-09-25 00:00:00,89.8
2020-09-18 00:00:00,89.1
2020-09-11 00:00:00,89.42
2020-09-04 00:00:00,89.22
2020-08-28 00:00:00,89.07
2020-08-21 00:00:00,89.01
2020-08-14 00:00:00,89.18
2020-08-07 00:00:00,89.78
2020-07-31 00:00:00,90.02
2020-07-24 00:00:00,89.77
2020-07-17 00:00:00,89.69
2020-07-10 00:00:00,89.37
2020-07-03 00:00:00,89.32
2020-06-26 00:00:00,89.4
2020-06-19 00:00:00,89.4
2020-06-12 00:00:00,88.59
2020-06-05 00:00:00,89.27
2020-05-29 00:00:00,89.69
2020-05-22 00:00:00,89.74
2020-05-15 00:00:00,89.18
2020-05-08 00:00:00,88.72
2020-05-01 00:00:00,88.13
2020-04-24 00:00:00,87.62
2020-04-17 00:00:00,87.62
2020-04-10 00:00:00,88.57
2020-04-03 00:00:00,88.53
2020-03-27 00:00:00,88.46
2020-03-20 00:00:00,88.45
2020-03-13 00:00:00,88.63
2020-03-06 00:00:00,88.63
2020-02-28 00:00:00,88.5
2020-02-21 00:00:00,88.5
2020-02-14 00:00:00,88.45
2020-02-07 00:00:00,89.6
2020-01-31 00:00:00,89.72
2020-01-24 00:00:00,89.72
2020-01-17 00:00:00,89.72
2020-01-10 00:00:00,89.47
2020-01-03 00:00:00,90.22
2019-12-27 00:00:00,91.7
2019-12-20 00:00:00,91.71
2019-12-13 00:00:00,92.21
2019-12-06 00:00:00,92.21
2019-11-29 00:00:00,92.73
2019-11-22 00:00:00,92.69
2019-11-15 00:00:00,92.69
2019-11-08 00:00:00,91.44
2019-11-01 00:00:00,89.4
2019-10-25 00:00:00,90.88
2019-10-18 00:00:00,91.45
2019-10-11 00:00:00,91.52
2019-10-04 00:00:00,91.68
2019-09-27 00:00:00,86.5
2019-09-20 00:00:00,94.2
2019-09-13 00:00:00,93.88
2019-09-06 00:00:00,94.23
2019-08-30 00:00:00,94.37
2019-08-23 00:00:00,94.5
2019-08-16 00:00:00,94.52
2019-08-09 00:00:00,94.49
2019-08-02 00:00:00,92.09
2019-07-26 00:00:00,92.08
2019-07-19 00:00:00,92.22
2019-07-12 00:00:00,92.23
2019-07-05 00:00:00,93.1
2019-06-28 00:00:00,93.1
2019-06-21 00:00:00,93.32
2019-06-14 00:00:00,93.32
2019-06-07 00:00:00,93.32
2019-05-31 00:00:00,93.32
2019-05-24 00:00:00,93.17
2019-05-17 00:00:00,93.06
2019-05-10 00:00:00,93.1
2019-04-26 00:00:00,93.19
2019-04-19 00:00:00,93.82
2019-04-12 00:00:00,93.7
2019-04-05 00:00:00,93.58
2019-03-29 00:00:00,93.55
2019-03-22 00:00:00,93.62
2019-03-15 00:00:00,92.84
2019-03-08 00:00:00,92.84
2019-03-01 00:00:00,93.46
2019-02-22 00:00:00,93.04
2019-02-15 00:00:00,93.35
2019-02-01 00:00:00,92.87
2019-01-25 00:00:00,91.28
2019-01-18 00:00:00,91.28
2019-01-11 00:00:00,91.36
2019-01-04 00:00:00,91.02
2018-12-28 00:00:00,90.99
2018-12-21 00:00:00,91.21
2018-12-14 00:00:00,91.21
2018-12-07 00:00:00,91.45
2018-11-30 00:00:00,93.02
2018-11-23 00:00:00,92.47
2018-11-16 00:00:00,92.52
2018-11-09 00:00:00,92.52
2018-11-02 00:00:00,90.88
2018-10-26 00:00:00,93.21
2018-10-19 00:00:00,93.29
2018-10-12 00:00:00,93.37
2018-09-28 00:00:00,93.06
2018-09-21 00:00:00,92.91
2018-09-14 00:00:00,92.99
2018-09-07 00:00:00,92.53
2018-08-31 00:00:00,92.44
2018-08-24 00:00:00,92.57
2018-08-17 00:00:00,92.48
2018-08-10 00:00:00,92.34
2018-08-03 00:00:00,92.74
2018-07-27 00:00:00,93.21
2018-07-20 00:00:00,93.04
2018-07-13 00:00:00,92.96
2018-07-06 00:00:00,92.83
2018-06-29 00:00:00,92.9
2018-06-22 00:00:00,92.97
2018-06-15 00:00:00,91.49
2018-06-08 00:00:00,91.82
2018-06-01 00:00:00,93.82
2018-05-25 00:00:00,93.68
2018-05-18 00:00:00,93.07
2018-05-11 00:00:00,93.25
2018-05-04 00:00:00,93.11
2018-04-27 00:00:00,93.16
2018-04-20 00:00:00,92.03
2018-04-13 00:00:00,91.9
2018-04-06 00:00:00,90.29
2018-03-30 00:00:00,90.12
2018-03-23 00:00:00,90.64
2018-03-16 00:00:00,90.35
2018-03-09 00:00:00,90.2
2018-03-02 00:00:00,90.27
2018-02-23 00:00:00,90.06
2018-02-09 00:00:00,90.82
2018-02-02 00:00:00,91.39
2018-01-26 00:00:00,87.75
2018-01-19 00:00:00,87.34
2018-01-12 00:00:00,87.18
2018-01-05 00:00:00,88.0
