指标名称,焦炭：库存：全样本（周）
指标编码,ID01225520
2026-01-09 00:00:00,915.9
2026-01-02 00:00:00,915.68
2025-12-26 00:00:00,912.64
2025-12-19 00:00:00,900.48
2025-12-12 00:00:00,903.8
2025-12-05 00:00:00,882.99
2025-11-28 00:00:00,884.68
2025-11-21 00:00:00,880.63
2025-11-14 00:00:00,879.35
2025-11-07 00:00:00,887.05
2025-10-31 00:00:00,900.02
2025-10-24 00:00:00,891.89
2025-10-17 00:00:00,891.88
2025-10-10 00:00:00,909.75
2025-10-03 00:00:00,919.8
2025-09-26 00:00:00,920.41
2025-09-19 00:00:00,915.18
2025-09-12 00:00:00,906.24
2025-09-05 00:00:00,895.28
2025-08-29 00:00:00,887.47
2025-08-22 00:00:00,888.58
2025-08-15 00:00:00,887.42
2025-08-08 00:00:00,907.16
2025-08-01 00:00:00,915.41
2025-07-25 00:00:00,918.23
2025-07-18 00:00:00,925.65
2025-07-11 00:00:00,930.96
2025-07-04 00:00:00,930.71
2025-06-27 00:00:00,940.87
2025-06-20 00:00:00,952.89
2025-06-13 00:00:00,971.64
2025-06-06 00:00:00,986.96
2025-05-30 00:00:00,983.49
2025-05-23 00:00:00,986.935
2025-05-16 00:00:00,983.22
2025-05-09 00:00:00,994.55
2025-05-02 00:00:00,1012.3
2025-04-25 00:00:00,1014.8
2025-04-18 00:00:00,1017.76
2025-04-11 00:00:00,1008.38
2025-04-04 00:00:00,1007.47
2025-03-28 00:00:00,1013.22
2025-03-21 00:00:00,1005.88
2025-03-14 00:00:00,1034.77
2025-03-07 00:00:00,1033.41
2025-02-28 00:00:00,1034.36
2025-02-21 00:00:00,1039.81
2025-02-14 00:00:00,1028.34
2025-02-07 00:00:00,1024.82
2025-01-31 00:00:00,1024.15
2025-01-24 00:00:00,1010.5
2025-01-17 00:00:00,979.32
2025-01-10 00:00:00,957.94
2025-01-03 00:00:00,920.43
2024-12-27 00:00:00,904.94
2024-12-20 00:00:00,886.35
2024-12-13 00:00:00,874.17
2024-12-06 00:00:00,857.79
2024-11-29 00:00:00,861.61
2024-11-22 00:00:00,852.29
2024-11-15 00:00:00,828.47
2024-11-08 00:00:00,838.33
2024-11-01 00:00:00,838.22
2024-10-25 00:00:00,832.16
2024-10-18 00:00:00,815.33
2024-10-11 00:00:00,814.24
2024-10-04 00:00:00,813.17
2024-09-27 00:00:00,823.71
2024-09-20 00:00:00,810.81
2024-09-13 00:00:00,811.42
2024-09-06 00:00:00,804.59
2024-08-30 00:00:00,799.96
2024-08-23 00:00:00,803.64
2024-08-16 00:00:00,792.94
2024-08-09 00:00:00,792.57
2024-08-02 00:00:00,797.69
2024-07-26 00:00:00,797.96
2024-07-19 00:00:00,813.97
2024-07-12 00:00:00,799.08
2024-07-05 00:00:00,821.79
2024-06-28 00:00:00,825.51
2024-06-21 00:00:00,820.86
2024-06-14 00:00:00,821.93
2024-06-07 00:00:00,828.71
2024-05-31 00:00:00,843.66
2024-05-24 00:00:00,846.3
2024-05-17 00:00:00,851.29
2024-05-10 00:00:00,857.14
2024-05-03 00:00:00,840.0
2024-04-26 00:00:00,859.12
2024-04-19 00:00:00,906.44
2024-04-12 00:00:00,921.84
2024-04-05 00:00:00,910.14
2024-03-29 00:00:00,913.4
2024-03-22 00:00:00,906.21
2024-03-15 00:00:00,914.76
2024-03-08 00:00:00,941.85
2024-03-01 00:00:00,956.47
2024-02-23 00:00:00,936.96
2024-02-16 00:00:00,936.53
2024-02-09 00:00:00,955.3
2024-02-02 00:00:00,961.25
2024-01-26 00:00:00,925.82
2024-01-19 00:00:00,911.71
2024-01-12 00:00:00,890.66
2024-01-05 00:00:00,873.69
2023-12-29 00:00:00,861.82
2023-12-22 00:00:00,861.81
2023-12-15 00:00:00,868.43
2023-12-08 00:00:00,856.38
2023-12-01 00:00:00,849.93
2023-11-24 00:00:00,844.64
2023-11-17 00:00:00,843.14
2023-11-10 00:00:00,851.91
2023-11-03 00:00:00,832.69
2023-10-27 00:00:00,808.66
2023-10-20 00:00:00,818.07
2023-10-13 00:00:00,830.73
2023-10-06 00:00:00,829.57
2023-09-29 00:00:00,850.81
2023-09-22 00:00:00,850.33
2023-09-15 00:00:00,838.8
2023-09-08 00:00:00,843.19
2023-09-01 00:00:00,841.34
2023-08-25 00:00:00,839.92
2023-08-18 00:00:00,823.79
2023-08-11 00:00:00,826.52
2023-08-04 00:00:00,856.31
2023-07-28 00:00:00,841.02
2023-07-21 00:00:00,857.63
2023-07-14 00:00:00,885.65
2023-07-07 00:00:00,897.44
2023-06-30 00:00:00,918.21
2023-06-23 00:00:00,911.12
2023-06-16 00:00:00,904.03
2023-06-09 00:00:00,904.17
2023-06-02 00:00:00,916.75
2023-05-26 00:00:00,924.71
2023-05-19 00:00:00,934.47
2023-05-12 00:00:00,938.43
2023-05-05 00:00:00,935.6
2023-04-28 00:00:00,915.83
2023-04-21 00:00:00,916.72
2023-04-14 00:00:00,930.23
2023-04-07 00:00:00,937.65
2023-03-31 00:00:00,935.56
2023-03-24 00:00:00,931.29
2023-03-17 00:00:00,944.13
2023-03-10 00:00:00,960.02
2023-03-03 00:00:00,959.52
2023-02-24 00:00:00,945.62
2023-02-17 00:00:00,936.22
2023-02-10 00:00:00,930.02
2023-02-03 00:00:00,913.7
2023-01-27 00:00:00,908.96
2023-01-20 00:00:00,922.52
2023-01-13 00:00:00,889.29
2023-01-06 00:00:00,855.4
2022-12-30 00:00:00,848.76
2022-12-23 00:00:00,824.43
2022-12-16 00:00:00,834.0
2022-12-09 00:00:00,823.04
2022-12-02 00:00:00,845.33
2022-11-25 00:00:00,857.96
2022-11-18 00:00:00,869.99
2022-11-11 00:00:00,885.86
2022-11-04 00:00:00,873.7
2022-10-28 00:00:00,902.12
2022-10-21 00:00:00,936.52
2022-10-14 00:00:00,958.19
2022-10-07 00:00:00,975.02
2022-09-30 00:00:00,979.28
2022-09-23 00:00:00,985.75
2022-09-16 00:00:00,965.6
2022-09-09 00:00:00,960.35
2022-09-02 00:00:00,947.34
2022-08-26 00:00:00,915.82
2022-08-19 00:00:00,905.17
2022-08-12 00:00:00,906.31
2022-08-05 00:00:00,895.11
2022-07-29 00:00:00,918.89
2022-07-22 00:00:00,904.74
2022-07-15 00:00:00,902.01
2022-07-08 00:00:00,891.03
2022-07-01 00:00:00,902.91
2022-06-24 00:00:00,912.14
2022-06-17 00:00:00,918.52
2022-06-10 00:00:00,936.17
2022-06-03 00:00:00,941.69
2022-05-27 00:00:00,966.15
2022-05-20 00:00:00,946.01
2022-05-13 00:00:00,950.66
2022-05-06 00:00:00,952.89
2022-04-29 00:00:00,966.31
2022-04-22 00:00:00,976.1
2022-04-15 00:00:00,999.6
2022-04-08 00:00:00,1011.29
2022-04-01 00:00:00,1013.64
2022-03-25 00:00:00,1006.14
2022-03-18 00:00:00,1031.59
2022-03-11 00:00:00,993.79
2022-03-04 00:00:00,995.38
2022-02-25 00:00:00,1042.94
2022-02-18 00:00:00,1049.13
2022-02-11 00:00:00,1036.66
2022-02-04 00:00:00,1038.48
2022-01-28 00:00:00,1009.98
2022-01-21 00:00:00,979.2
2022-01-14 00:00:00,966.63
2022-01-07 00:00:00,956.43
2021-12-31 00:00:00,947.96
2021-12-24 00:00:00,925.47
2021-12-17 00:00:00,934.28
2021-12-10 00:00:00,921.4
2021-12-03 00:00:00,931.36
2021-11-26 00:00:00,951.09
2021-11-19 00:00:00,962.83
2021-11-12 00:00:00,957.74
2021-11-05 00:00:00,922.68
2021-10-29 00:00:00,918.62
2021-10-22 00:00:00,923.43
2021-10-15 00:00:00,943.98
2021-10-08 00:00:00,926.04
2021-10-01 00:00:00,912.92
2021-09-24 00:00:00,887.52
2021-09-17 00:00:00,871.48
2021-09-10 00:00:00,887.92
2021-09-03 00:00:00,889.98
2021-08-27 00:00:00,883.56
2021-08-20 00:00:00,880.34
2021-08-13 00:00:00,899.05
2021-08-06 00:00:00,921.93
2021-07-30 00:00:00,936.53
2021-07-23 00:00:00,950.25
2021-07-16 00:00:00,999.56
2021-07-09 00:00:00,989.15
2021-07-02 00:00:00,960.95
2021-06-25 00:00:00,948.05
2021-06-18 00:00:00,976.46
2021-06-11 00:00:00,993.34
2021-06-04 00:00:00,999.51
2021-05-28 00:00:00,992.72
2021-05-21 00:00:00,990.42
2021-05-14 00:00:00,1014.83
2021-05-07 00:00:00,1039.11
2021-04-30 00:00:00,1078.32
2021-04-23 00:00:00,1119.78
2021-04-16 00:00:00,1148.02
2021-04-09 00:00:00,1186.14
2021-04-02 00:00:00,1212.12
2021-03-26 00:00:00,1203.94
2021-03-19 00:00:00,1188.25
2021-03-12 00:00:00,1149.69
2021-03-05 00:00:00,1104.97
2021-02-26 00:00:00,1046.18
2021-02-19 00:00:00,1012.66
2021-02-05 00:00:00,1023.12
2021-01-29 00:00:00,1010.46
2021-01-22 00:00:00,978.44
2021-01-15 00:00:00,995.36
2021-01-08 00:00:00,1051.76
2021-01-01 00:00:00,1058.13
2020-12-25 00:00:00,1059.03
2020-12-18 00:00:00,1078.09
2020-12-11 00:00:00,1103.53
2020-12-04 00:00:00,1114.09
2020-11-27 00:00:00,1121.78
2020-11-20 00:00:00,1114.33
2020-11-13 00:00:00,1118.31
2020-11-06 00:00:00,1112.03
2020-10-30 00:00:00,1121.96
2020-10-23 00:00:00,1122.04
2020-10-16 00:00:00,1122.25
2020-10-09 00:00:00,1135.77
2020-10-02 00:00:00,1139.78
2020-09-25 00:00:00,1148.75
2020-09-18 00:00:00,1167.45
2020-09-11 00:00:00,1175.77
2020-09-04 00:00:00,1193.64
2020-08-28 00:00:00,1213.95
2020-08-21 00:00:00,1219.11
2020-08-14 00:00:00,1227.32
2020-08-07 00:00:00,1242.41
2020-07-31 00:00:00,1255.5
2020-07-24 00:00:00,1234.38
2020-07-17 00:00:00,1262.48
2020-07-10 00:00:00,1274.6
2020-07-03 00:00:00,1270.26
2020-06-26 00:00:00,1257.7
2020-06-19 00:00:00,1282.51
2020-06-12 00:00:00,1285.81
2020-06-05 00:00:00,1297.32
2020-05-29 00:00:00,1337.44
2020-05-22 00:00:00,1361.84
2020-05-15 00:00:00,1342.93
2020-05-08 00:00:00,1338.15
2020-05-01 00:00:00,1349.68
2020-04-24 00:00:00,1357.87
2020-04-17 00:00:00,1372.37
2020-04-10 00:00:00,1381.86
2020-04-03 00:00:00,1386.05
2020-03-27 00:00:00,1385.6
2020-03-20 00:00:00,1372.14
2020-03-13 00:00:00,1343.35
2020-03-06 00:00:00,1311.94
2020-02-28 00:00:00,1295.25
2020-02-21 00:00:00,1304.09
2020-02-14 00:00:00,1325.74
2020-02-07 00:00:00,1350.99
2020-01-31 00:00:00,1345.72
2020-01-24 00:00:00,1337.23
2020-01-17 00:00:00,1341.23
2020-01-10 00:00:00,1362.18
2020-01-03 00:00:00,1347.66
2019-12-27 00:00:00,1351.18
2019-12-20 00:00:00,1374.94
2019-12-13 00:00:00,1394.8
2019-12-06 00:00:00,1398.53
2019-11-29 00:00:00,1406.66
2019-11-22 00:00:00,1419.79
2019-11-15 00:00:00,1443.35
2019-11-08 00:00:00,1445.75
2019-11-01 00:00:00,1444.49
2019-10-25 00:00:00,1483.82
2019-10-18 00:00:00,1467.55
2019-10-11 00:00:00,1470.94
2019-10-04 00:00:00,1472.22
2019-09-27 00:00:00,1435.16
2019-09-20 00:00:00,1428.91
2019-09-13 00:00:00,1442.24
2019-09-06 00:00:00,1436.5
2019-08-30 00:00:00,1414.77
2019-08-23 00:00:00,1433.74
2019-08-16 00:00:00,1446.68
2019-08-09 00:00:00,1450.64
2019-08-02 00:00:00,1463.85
2019-07-26 00:00:00,1461.41
2019-07-19 00:00:00,1450.87
2019-07-12 00:00:00,1465.11
2019-07-05 00:00:00,1460.14
2019-06-28 00:00:00,1449.03
2019-06-21 00:00:00,1453.02
2019-06-14 00:00:00,1446.16
2019-06-07 00:00:00,1442.29
2019-05-31 00:00:00,1440.24
2019-05-24 00:00:00,1422.47
2019-05-17 00:00:00,1433.91
2019-05-10 00:00:00,1433.17
2019-04-26 00:00:00,1470.57
2019-04-19 00:00:00,1481.23
2019-04-12 00:00:00,1486.35
2019-04-05 00:00:00,1471.54
2019-03-29 00:00:00,1442.6
2019-03-22 00:00:00,1419.69
2019-03-15 00:00:00,1402.62
2019-03-08 00:00:00,1368.79
2019-03-01 00:00:00,1367.33
2019-02-22 00:00:00,1353.37
2019-02-15 00:00:00,1367.68
2019-02-01 00:00:00,1299.26
2019-01-25 00:00:00,1301.93
2019-01-18 00:00:00,1301.63
2019-01-11 00:00:00,1288.76
2019-01-04 00:00:00,1287.66
2018-12-28 00:00:00,1259.04
2018-12-21 00:00:00,1241.51
2018-12-14 00:00:00,1208.57
2018-12-07 00:00:00,1180.88
2018-11-30 00:00:00,1172.91
2018-11-23 00:00:00,1171.58
2018-11-16 00:00:00,1166.38
2018-11-09 00:00:00,1171.2
2018-11-02 00:00:00,1152.7
2018-10-26 00:00:00,1153.61
2018-10-19 00:00:00,1169.46
2018-10-12 00:00:00,1177.39
2018-09-28 00:00:00,1174.89
2018-09-21 00:00:00,1189.02
2018-09-14 00:00:00,1207.41
2018-09-07 00:00:00,1205.63
2018-08-31 00:00:00,1193.98
2018-08-24 00:00:00,1207.66
2018-08-17 00:00:00,1200.28
2018-08-10 00:00:00,1213.55
2018-08-03 00:00:00,1209.18
2018-07-27 00:00:00,1221.9
2018-07-20 00:00:00,1229.9
2018-07-13 00:00:00,1215.37
2018-07-06 00:00:00,1233.36
2018-06-29 00:00:00,1221.47
2018-06-22 00:00:00,1248.71
2018-06-15 00:00:00,1268.86
2018-06-08 00:00:00,1274.95
2018-06-01 00:00:00,1299.83
2018-05-25 00:00:00,1336.73
2018-05-18 00:00:00,1363.49
2018-05-11 00:00:00,1393.67
2018-05-04 00:00:00,1393.53
2018-04-27 00:00:00,1392.01
2018-04-20 00:00:00,1434.24
2018-04-13 00:00:00,1459.25
2018-04-06 00:00:00,1473.53
2018-03-30 00:00:00,1465.77
2018-03-23 00:00:00,1433.36
2018-03-16 00:00:00,1395.14
2018-03-09 00:00:00,1392.32
2018-03-02 00:00:00,1337.99
2018-02-23 00:00:00,1317.1
2018-02-09 00:00:00,1287.64
2018-02-02 00:00:00,1321.22
2018-01-26 00:00:00,1322.63
2018-01-19 00:00:00,1288.82
2018-01-12 00:00:00,1267.73
2018-01-05 00:00:00,1254.91
