指标名称,动力煤：462家样本矿山：库存（周）
指标编码,ID01563852
2026-01-09 00:00:00,286.1
2026-01-02 00:00:00,279.2
2025-12-26 00:00:00,303.7
2025-12-19 00:00:00,301.5
2025-12-12 00:00:00,301.6
2025-12-05 00:00:00,308.0
2025-11-28 00:00:00,312.5
2025-11-21 00:00:00,300.5
2025-11-14 00:00:00,304.0
2025-11-07 00:00:00,292.0
2025-10-31 00:00:00,295.1
2025-10-24 00:00:00,293.5
2025-10-17 00:00:00,293.8
2025-10-10 00:00:00,318.4
2025-10-03 00:00:00,316.9
2025-09-26 00:00:00,315.1
2025-09-19 00:00:00,296.3
2025-09-12 00:00:00,306.3
2025-09-05 00:00:00,337.3
2025-08-29 00:00:00,348.8
2025-08-22 00:00:00,340.5
2025-08-15 00:00:00,334.9
2025-08-08 00:00:00,336.0
2025-08-01 00:00:00,340.2
2025-07-25 00:00:00,350.5
2025-07-18 00:00:00,337.5
2025-07-11 00:00:00,332.1
2025-07-04 00:00:00,325.1
2025-06-27 00:00:00,332.1
2025-06-20 00:00:00,348.6
2025-06-13 00:00:00,353.2
2025-06-06 00:00:00,333.3
2025-05-30 00:00:00,332.3
2025-05-23 00:00:00,361.4
2025-05-16 00:00:00,340.5
2025-05-09 00:00:00,293.7
2025-05-02 00:00:00,302.0
2025-04-25 00:00:00,299.2
2025-04-18 00:00:00,253.3
2025-04-11 00:00:00,245.5
2025-04-04 00:00:00,256.5
2025-03-28 00:00:00,257.0
2025-03-21 00:00:00,258.9
2025-03-14 00:00:00,254.6
2025-03-07 00:00:00,282.2
2025-02-28 00:00:00,282.6
2025-02-21 00:00:00,294.2
2025-02-14 00:00:00,284.3
2025-02-07 00:00:00,230.7
2025-01-31 00:00:00,228.3
2025-01-24 00:00:00,237.2
2025-01-17 00:00:00,237.8
2025-01-10 00:00:00,234.2
2025-01-03 00:00:00,243.6
2024-12-27 00:00:00,268.6
2024-12-20 00:00:00,266.7
2024-12-13 00:00:00,229.9
2024-12-06 00:00:00,220.6
2024-11-29 00:00:00,226.0
2024-11-22 00:00:00,214.0
2024-11-15 00:00:00,206.9
2024-11-08 00:00:00,223.9
2024-11-01 00:00:00,168.9
2024-10-25 00:00:00,173.0
2024-10-18 00:00:00,176.7
2024-10-11 00:00:00,155.4
2024-10-04 00:00:00,132.1
2024-09-27 00:00:00,137.2
2024-09-20 00:00:00,143.5
2024-09-13 00:00:00,133.9
2024-09-06 00:00:00,143.9
2024-08-30 00:00:00,146.2
2024-08-23 00:00:00,173.0
2024-08-16 00:00:00,164.4
2024-08-09 00:00:00,152.8
2024-08-02 00:00:00,149.8
2024-07-26 00:00:00,143.9
2024-07-19 00:00:00,147.8
2024-07-12 00:00:00,136.3
2024-07-05 00:00:00,157.0
2024-06-28 00:00:00,146.0
2024-06-21 00:00:00,141.7
2024-06-14 00:00:00,143.9
2024-06-07 00:00:00,144.5
2024-05-31 00:00:00,133.9
2024-05-24 00:00:00,129.1
2024-05-17 00:00:00,131.3
2024-05-10 00:00:00,134.3
2024-05-03 00:00:00,131.7
2024-04-26 00:00:00,140.1
2024-04-19 00:00:00,144.8
2024-04-12 00:00:00,150.0
2024-04-05 00:00:00,139.7
2024-03-29 00:00:00,132.8
2024-03-22 00:00:00,176.5
2024-03-15 00:00:00,181.1
2024-03-08 00:00:00,161.3
2024-03-01 00:00:00,171.1
2024-02-23 00:00:00,193.2
2024-02-16 00:00:00,149.8
2024-02-09 00:00:00,158.3
2024-02-02 00:00:00,155.8
2024-01-26 00:00:00,155.8
2024-01-19 00:00:00,155.7
2024-01-12 00:00:00,159.7
2024-01-05 00:00:00,149.7
2023-12-29 00:00:00,154.9
2023-12-22 00:00:00,170.9
2023-12-15 00:00:00,163.3
2023-12-08 00:00:00,141.0
2023-12-01 00:00:00,136.6
2023-11-24 00:00:00,139.6
2023-11-17 00:00:00,129.8
2023-11-10 00:00:00,122.7
2023-11-03 00:00:00,148.1
2023-10-27 00:00:00,140.4
2023-10-20 00:00:00,121.3
2023-10-13 00:00:00,122.7
2023-10-06 00:00:00,119.4
2023-09-29 00:00:00,116.8
2023-09-22 00:00:00,91.5
2023-09-15 00:00:00,105.8
2023-09-08 00:00:00,101.7
2023-09-01 00:00:00,104.2
2023-08-25 00:00:00,97.3
2023-08-18 00:00:00,109.0
2023-08-11 00:00:00,121.1
2023-08-04 00:00:00,121.6
2023-07-28 00:00:00,117.2
2023-07-21 00:00:00,99.5
2023-07-14 00:00:00,116.6
2023-07-07 00:00:00,103.1
2023-06-30 00:00:00,109.8
2023-06-23 00:00:00,97.1
2023-06-16 00:00:00,126.0
2023-06-09 00:00:00,151.7
2023-06-02 00:00:00,196.3
2023-05-26 00:00:00,93.6
2023-05-19 00:00:00,73.3
2023-05-12 00:00:00,93.9
2023-05-05 00:00:00,79.4
2023-04-28 00:00:00,75.1
2023-04-21 00:00:00,49.4
2023-04-14 00:00:00,59.7
2023-04-07 00:00:00,56.5
2023-03-31 00:00:00,67.7
2023-03-24 00:00:00,59.0
2023-03-17 00:00:00,40.9
2023-03-10 00:00:00,36.1
2023-03-03 00:00:00,41.5
2023-02-24 00:00:00,37.5
2023-02-17 00:00:00,59.6
2023-02-10 00:00:00,55.4
2023-02-03 00:00:00,47.0
2023-01-27 00:00:00,24.5
2023-01-20 00:00:00,30.6
2023-01-13 00:00:00,45.5
2023-01-06 00:00:00,68.6
2022-12-30 00:00:00,53.4
2022-12-23 00:00:00,63.9
2022-12-16 00:00:00,74.5
2022-12-09 00:00:00,67.6
2022-12-02 00:00:00,88.7
2022-11-25 00:00:00,83.4
2022-11-18 00:00:00,73.1
2022-11-11 00:00:00,84.5
2022-11-04 00:00:00,79.8
2022-10-28 00:00:00,57.3
2022-10-21 00:00:00,49.6
2022-10-14 00:00:00,33.9
2022-10-07 00:00:00,21.4
2022-09-30 00:00:00,18.8
2022-09-23 00:00:00,13.0
2022-09-16 00:00:00,13.2
2022-09-09 00:00:00,17.5
2022-09-02 00:00:00,14.1
2022-08-26 00:00:00,15.3
2022-08-19 00:00:00,15.4
2022-08-12 00:00:00,14.8
2022-08-05 00:00:00,16.8
2022-07-29 00:00:00,22.3
2022-07-22 00:00:00,23.2
2022-07-15 00:00:00,16.8
2022-07-08 00:00:00,32.4
2022-07-01 00:00:00,36.6
2022-06-24 00:00:00,31.9
2022-06-17 00:00:00,31.4
2022-06-10 00:00:00,32.4
2022-06-03 00:00:00,34.9
2022-05-27 00:00:00,41.5
2022-05-20 00:00:00,44.0
2022-05-13 00:00:00,43.5
2022-05-06 00:00:00,48.0
2022-04-29 00:00:00,56.5
2022-04-22 00:00:00,49.6
2022-04-15 00:00:00,52.4
2022-04-08 00:00:00,48.9
2022-04-01 00:00:00,47.2
2022-03-25 00:00:00,38.4
2022-03-18 00:00:00,46.4
2022-03-11 00:00:00,42.4
2022-03-04 00:00:00,39.7
2022-02-25 00:00:00,43.5
2022-02-18 00:00:00,47.0
2022-02-11 00:00:00,63.7
2022-02-04 00:00:00,51.8
2022-01-28 00:00:00,53.6
2022-01-21 00:00:00,53.9
2022-01-14 00:00:00,59.3
2022-01-07 00:00:00,56.8
