指标名称,精煤：523家样本矿山：库存（周）
指标编码,ID01718576
2026-01-09 00:00:00,295.01
2026-01-02 00:00:00,293.34
2025-12-26 00:00:00,282.9
2025-12-19 00:00:00,272.77
2025-12-12 00:00:00,255.31
2025-12-05 00:00:00,247.01
2025-11-28 00:00:00,223.92
2025-11-21 00:00:00,185.92
2025-11-14 00:00:00,165.06
2025-11-07 00:00:00,165.59
2025-10-31 00:00:00,164.53
2025-10-24 00:00:00,189.54
2025-10-17 00:00:00,205.41
2025-10-10 00:00:00,195.86
2025-10-03 00:00:00,191.54
2025-09-26 00:00:00,210.96
2025-09-19 00:00:00,232.79
2025-09-12 00:00:00,254.52
2025-09-05 00:00:00,268.08
2025-08-29 00:00:00,283.62
2025-08-22 00:00:00,275.64
2025-08-15 00:00:00,257.67
2025-08-08 00:00:00,245.66
2025-08-01 00:00:00,248.26
2025-07-25 00:00:00,278.44
2025-07-18 00:00:00,339.07
2025-07-11 00:00:00,377.18
2025-07-04 00:00:00,409.61
2025-06-27 00:00:00,463.09
2025-06-20 00:00:00,499.15
2025-06-13 00:00:00,486.04
2025-06-06 00:00:00,480.73
2025-05-30 00:00:00,473.03
2025-05-23 00:00:00,447.53
2025-05-16 00:00:00,410.45
2025-05-09 00:00:00,390.43
2025-05-02 00:00:00,358.52
2025-04-25 00:00:00,354.6
2025-04-18 00:00:00,333.34
2025-04-11 00:00:00,335.51
2025-04-04 00:00:00,339.66
2025-03-28 00:00:00,369.05
2025-03-21 00:00:00,372.67
2025-03-14 00:00:00,375.54
2025-03-07 00:00:00,373.16
2025-02-28 00:00:00,389.58
2025-02-21 00:00:00,388.48
2025-02-14 00:00:00,389.61
2025-01-31 00:00:00,381.58
2025-01-24 00:00:00,412.62
2025-01-17 00:00:00,438.42
2025-01-10 00:00:00,411.28
2025-01-03 00:00:00,383.14
2024-12-27 00:00:00,369.44
2024-12-20 00:00:00,341.62
2024-12-13 00:00:00,337.45
2024-12-06 00:00:00,336.51
2024-11-29 00:00:00,323.83
2024-11-22 00:00:00,327.59
2024-11-15 00:00:00,326.54
2024-11-08 00:00:00,314.51
2024-11-01 00:00:00,290.55
2024-10-25 00:00:00,276.84
2024-10-18 00:00:00,260.42
2024-10-11 00:00:00,255.08
2024-09-27 00:00:00,274.4
2024-09-20 00:00:00,276.75
2024-09-13 00:00:00,278.35
2024-09-06 00:00:00,273.95
2024-08-30 00:00:00,309.86
2024-08-23 00:00:00,328.19
2024-08-16 00:00:00,330.25
2024-08-09 00:00:00,322.58
2024-08-02 00:00:00,308.47
2024-07-26 00:00:00,290.7
2024-07-19 00:00:00,275.01
2024-07-12 00:00:00,268.85
2024-07-05 00:00:00,283.57
2024-06-28 00:00:00,287.18
2024-06-21 00:00:00,286.56
2024-06-14 00:00:00,286.95
2024-06-07 00:00:00,276.74
2024-05-31 00:00:00,274.36
2024-05-24 00:00:00,274.01
2024-05-17 00:00:00,258.36
2024-05-10 00:00:00,258.74
2024-05-03 00:00:00,271.26
2024-04-26 00:00:00,285.26
2024-04-19 00:00:00,311.38
2024-04-12 00:00:00,356.95
2024-04-05 00:00:00,316.48
2024-03-29 00:00:00,307.85
2024-03-22 00:00:00,305.58
2024-03-15 00:00:00,281.59
2024-03-08 00:00:00,260.95
2024-03-01 00:00:00,244.21
2024-02-23 00:00:00,208.99
2024-02-16 00:00:00,186.06
2024-02-09 00:00:00,187.71
2024-02-02 00:00:00,196.71
2024-01-26 00:00:00,208.35
2024-01-19 00:00:00,231.97
2024-01-12 00:00:00,210.47
2024-01-05 00:00:00,207.26
2023-12-29 00:00:00,205.77
2023-12-22 00:00:00,220.32
2023-12-15 00:00:00,205.46
2023-12-08 00:00:00,198.45
2023-12-01 00:00:00,190.85
2023-11-24 00:00:00,200.53
2023-11-17 00:00:00,208.68
2023-11-10 00:00:00,216.25
2023-11-03 00:00:00,202.05
2023-10-27 00:00:00,191.31
2023-10-20 00:00:00,173.35
2023-10-13 00:00:00,173.33
2023-10-06 00:00:00,182.01
2023-09-29 00:00:00,177.51
2023-09-22 00:00:00,169.97
2023-09-15 00:00:00,183.52
2023-09-08 00:00:00,196.62
2023-09-01 00:00:00,245.42
2023-08-25 00:00:00,258.21
2023-08-18 00:00:00,248.59
2023-08-11 00:00:00,231.57
2023-08-04 00:00:00,225.58
2023-07-28 00:00:00,246.16
2023-07-21 00:00:00,251.39
2023-07-14 00:00:00,264.51
2023-07-07 00:00:00,289.59
2023-06-30 00:00:00,292.41
2023-06-23 00:00:00,300.05
2023-06-16 00:00:00,314.63
2023-06-09 00:00:00,346.53
2023-06-02 00:00:00,340.92
2023-05-26 00:00:00,350.09
2023-05-19 00:00:00,418.37
2023-05-12 00:00:00,449.15
2023-05-05 00:00:00,437.41
2023-04-28 00:00:00,415.87
2023-04-21 00:00:00,373.32
2023-04-14 00:00:00,343.85
2023-04-07 00:00:00,293.22
2023-03-31 00:00:00,246.18
2023-03-24 00:00:00,204.3
2023-03-17 00:00:00,187.98
2023-03-10 00:00:00,194.41
2023-03-03 00:00:00,194.56
2023-02-24 00:00:00,207.17
2023-02-17 00:00:00,218.87
2023-02-10 00:00:00,206.47
2023-02-03 00:00:00,208.75
2023-01-27 00:00:00,191.28
2023-01-20 00:00:00,197.29
2023-01-13 00:00:00,211.76
2023-01-06 00:00:00,190.85
2022-12-30 00:00:00,193.02
2022-12-23 00:00:00,205.81
2022-12-16 00:00:00,214.28
2022-12-09 00:00:00,222.12
2022-12-02 00:00:00,204.64
2022-11-25 00:00:00,199.9
2022-11-18 00:00:00,178.99
2022-11-11 00:00:00,218.25
2022-11-04 00:00:00,212.58
2022-10-28 00:00:00,216.45
2022-10-21 00:00:00,204.91
2022-10-14 00:00:00,198.84
2022-10-07 00:00:00,188.01
2022-09-30 00:00:00,174.1
2022-09-23 00:00:00,184.59
2022-09-16 00:00:00,187.88
2022-09-09 00:00:00,195.38
2022-09-02 00:00:00,223.74
2022-08-26 00:00:00,191.11
2022-08-19 00:00:00,207.56
2022-08-12 00:00:00,230.13
2022-08-05 00:00:00,248.08
2022-07-29 00:00:00,237.45
2022-07-22 00:00:00,230.89
2022-07-15 00:00:00,235.12
2022-07-08 00:00:00,238.43
2022-07-01 00:00:00,235.87
2022-06-24 00:00:00,252.99
2022-06-17 00:00:00,200.66
2022-06-10 00:00:00,228.21
2022-06-03 00:00:00,212.19
2022-05-27 00:00:00,221.01
2022-05-20 00:00:00,225.64
2022-05-13 00:00:00,211.21
2022-05-06 00:00:00,189.97
2022-04-29 00:00:00,193.89
2022-04-22 00:00:00,202.84
2022-04-15 00:00:00,215.35
2022-04-08 00:00:00,208.85
2022-04-01 00:00:00,219.43
2022-03-25 00:00:00,243.0
2022-03-18 00:00:00,235.01
2022-03-11 00:00:00,241.03
2022-03-04 00:00:00,211.98
2022-02-25 00:00:00,215.76
2022-02-18 00:00:00,237.37
2022-02-11 00:00:00,234.34
2022-01-28 00:00:00,272.22
2022-01-21 00:00:00,251.24
2022-01-14 00:00:00,252.6
2022-01-07 00:00:00,258.39
2021-12-31 00:00:00,245.86
2021-12-24 00:00:00,252.33
2021-12-17 00:00:00,241.9
2021-12-10 00:00:00,254.97
2021-12-03 00:00:00,188.23
2021-11-26 00:00:00,187.45
2021-11-19 00:00:00,168.92
2021-11-12 00:00:00,155.03
2021-11-05 00:00:00,138.15
2021-10-29 00:00:00,139.44
2021-10-22 00:00:00,131.52
2021-10-15 00:00:00,139.24
2021-10-01 00:00:00,118.14
2021-09-24 00:00:00,118.44
2021-09-17 00:00:00,119.67
2021-09-10 00:00:00,106.31
2021-09-03 00:00:00,100.73
2021-08-27 00:00:00,91.64
2021-08-20 00:00:00,106.98
2021-08-13 00:00:00,97.82
2021-08-06 00:00:00,104.27
2021-07-30 00:00:00,109.06
2021-07-23 00:00:00,95.21
2021-07-16 00:00:00,90.98
2021-07-09 00:00:00,94.2
2021-07-02 00:00:00,82.68
2021-06-25 00:00:00,84.01
2021-06-18 00:00:00,82.82
2021-06-11 00:00:00,87.38
2021-06-04 00:00:00,85.23
2021-05-28 00:00:00,86.41
2021-05-21 00:00:00,76.57
2021-05-14 00:00:00,77.0
2021-04-30 00:00:00,117.18
2021-04-23 00:00:00,160.03
2021-04-16 00:00:00,171.26
2021-04-09 00:00:00,177.12
2021-04-02 00:00:00,182.81
2021-03-26 00:00:00,170.52
2021-03-19 00:00:00,183.21
2021-03-12 00:00:00,183.11
2021-03-05 00:00:00,177.82
2021-02-26 00:00:00,143.6
2021-02-12 00:00:00,138.56
2021-02-05 00:00:00,130.32
2021-01-29 00:00:00,110.58
2021-01-22 00:00:00,124.65
2021-01-15 00:00:00,119.25
2021-01-08 00:00:00,114.77
