指标名称,原煤：523家样本矿山：日均产量（周）
指标编码,ID01718577
2026-01-09 00:00:00,189.87
2026-01-02 00:00:00,177.16
2025-12-26 00:00:00,187.35
2025-12-19 00:00:00,192.7
2025-12-12 00:00:00,189.79
2025-12-05 00:00:00,190.42
2025-11-28 00:00:00,191.34
2025-11-21 00:00:00,193.42
2025-11-14 00:00:00,191.95
2025-11-07 00:00:00,186.33
2025-10-31 00:00:00,190.33
2025-10-24 00:00:00,190.97
2025-10-17 00:00:00,196.07
2025-10-10 00:00:00,183.86
2025-10-03 00:00:00,194.13
2025-09-26 00:00:00,194.04
2025-09-19 00:00:00,189.98
2025-09-12 00:00:00,185.62
2025-09-05 00:00:00,170.06
2025-08-29 00:00:00,188.61
2025-08-22 00:00:00,191.22
2025-08-15 00:00:00,187.91
2025-08-08 00:00:00,188.27
2025-08-01 00:00:00,193.56
2025-07-25 00:00:00,194.74
2025-07-18 00:00:00,192.88
2025-07-11 00:00:00,191.83
2025-07-04 00:00:00,188.01
2025-06-27 00:00:00,185.02
2025-06-20 00:00:00,189.53
2025-06-13 00:00:00,187.77
2025-06-06 00:00:00,189.88
2025-05-30 00:00:00,191.76
2025-05-23 00:00:00,193.59
2025-05-16 00:00:00,200.61
2025-05-09 00:00:00,202.1
2025-05-02 00:00:00,201.7
2025-04-25 00:00:00,198.64
2025-04-18 00:00:00,197.66
2025-04-11 00:00:00,196.43
2025-04-04 00:00:00,194.55
2025-03-28 00:00:00,191.03
2025-03-21 00:00:00,189.48
2025-03-14 00:00:00,191.37
2025-03-07 00:00:00,191.0
2025-02-28 00:00:00,188.83
2025-02-21 00:00:00,187.49
2025-02-14 00:00:00,178.02
2025-01-31 00:00:00,116.45
2025-01-24 00:00:00,177.04
2025-01-17 00:00:00,197.3
2025-01-10 00:00:00,199.85
2025-01-03 00:00:00,177.75
2024-12-27 00:00:00,196.28
2024-12-20 00:00:00,204.17
2024-12-13 00:00:00,205.5
2024-12-06 00:00:00,207.06
2024-11-29 00:00:00,204.28
2024-11-22 00:00:00,204.92
2024-11-15 00:00:00,202.32
2024-11-08 00:00:00,203.14
2024-11-01 00:00:00,198.85
2024-10-25 00:00:00,199.75
2024-10-18 00:00:00,196.55
2024-10-11 00:00:00,196.04
2024-09-27 00:00:00,204.68
2024-09-20 00:00:00,202.4
2024-09-13 00:00:00,202.6
2024-09-06 00:00:00,203.62
2024-08-30 00:00:00,203.31
2024-08-23 00:00:00,205.02
2024-08-16 00:00:00,203.19
2024-08-09 00:00:00,202.37
2024-08-02 00:00:00,201.45
2024-07-26 00:00:00,204.77
2024-07-19 00:00:00,198.42
2024-07-12 00:00:00,203.33
2024-07-05 00:00:00,202.88
2024-06-28 00:00:00,205.37
2024-06-21 00:00:00,197.12
2024-06-14 00:00:00,199.6
2024-06-07 00:00:00,197.73
2024-05-31 00:00:00,198.64
2024-05-24 00:00:00,196.82
2024-05-17 00:00:00,197.17
2024-05-10 00:00:00,196.23
2024-05-03 00:00:00,192.12
2024-04-26 00:00:00,192.67
2024-04-19 00:00:00,192.18
2024-04-12 00:00:00,192.02
2024-04-05 00:00:00,191.19
2024-03-29 00:00:00,190.02
2024-03-22 00:00:00,189.7
2024-03-15 00:00:00,190.46
2024-03-08 00:00:00,190.46
2024-03-01 00:00:00,188.71
2024-02-23 00:00:00,161.29
2024-02-16 00:00:00,116.5
2024-02-09 00:00:00,156.64
2024-02-02 00:00:00,181.73
2024-01-26 00:00:00,187.7
2024-01-19 00:00:00,192.17
2024-01-12 00:00:00,195.71
2024-01-05 00:00:00,190.32
2023-12-29 00:00:00,180.7
2023-12-22 00:00:00,193.15
2023-12-15 00:00:00,198.29
2023-12-08 00:00:00,194.81
2023-12-01 00:00:00,194.01
2023-11-24 00:00:00,205.28
2023-11-17 00:00:00,210.57
2023-11-10 00:00:00,206.57
2023-11-03 00:00:00,208.56
2023-10-27 00:00:00,211.7
2023-10-20 00:00:00,213.2
2023-10-13 00:00:00,210.19
2023-10-06 00:00:00,200.97
2023-09-29 00:00:00,200.56
2023-09-22 00:00:00,209.11
2023-09-15 00:00:00,214.82
2023-09-08 00:00:00,220.84
2023-09-01 00:00:00,219.0
2023-08-25 00:00:00,218.2
2023-08-18 00:00:00,214.62
2023-08-11 00:00:00,218.91
2023-08-04 00:00:00,206.08
2023-07-28 00:00:00,212.34
2023-07-21 00:00:00,214.17
2023-07-14 00:00:00,219.84
2023-07-07 00:00:00,222.25
2023-06-30 00:00:00,226.39
2023-06-23 00:00:00,218.18
2023-06-16 00:00:00,222.02
2023-06-09 00:00:00,219.3
2023-06-02 00:00:00,223.44
2023-05-26 00:00:00,223.65
2023-05-19 00:00:00,218.77
2023-05-12 00:00:00,223.68
2023-05-05 00:00:00,226.62
2023-04-28 00:00:00,225.16
2023-04-21 00:00:00,224.82
2023-04-14 00:00:00,221.51
2023-04-07 00:00:00,218.84
2023-03-31 00:00:00,224.06
2023-03-24 00:00:00,226.49
2023-03-17 00:00:00,228.5
2023-03-10 00:00:00,219.01
2023-03-03 00:00:00,223.46
2023-02-24 00:00:00,221.17
2023-02-17 00:00:00,220.3
2023-02-10 00:00:00,214.34
2023-02-03 00:00:00,202.26
2023-01-27 00:00:00,150.98
2023-01-20 00:00:00,167.5
