指标名称,焦煤：竞拍流拍率（日）
指标编码,ID01720313
2026-01-13 00:00:00,2.05
2026-01-12 00:00:00,1.06
2026-01-09 00:00:00,0.0
2026-01-08 00:00:00,4.88
2026-01-07 00:00:00,21.0
2026-01-06 00:00:00,17.81
2026-01-05 00:00:00,11.65
2026-01-04 00:00:00,17.64
2025-12-31 00:00:00,34.75
2025-12-30 00:00:00,35.7
2025-12-29 00:00:00,26.07
2025-12-26 00:00:00,40.63
2025-12-25 00:00:00,47.67
2025-12-24 00:00:00,31.98
2025-12-23 00:00:00,15.9
2025-12-22 00:00:00,19.05
2025-12-19 00:00:00,2.59
2025-12-18 00:00:00,22.84
2025-12-17 00:00:00,3.72
2025-12-16 00:00:00,15.79
2025-12-15 00:00:00,20.0
2025-12-12 00:00:00,29.59
2025-12-11 00:00:00,34.36
2025-12-10 00:00:00,22.97
2025-12-09 00:00:00,2.63
2025-12-08 00:00:00,32.17
2025-12-05 00:00:00,41.42
2025-12-04 00:00:00,15.89
2025-12-03 00:00:00,37.46
2025-12-02 00:00:00,31.32
2025-12-01 00:00:00,35.5
2025-11-28 00:00:00,31.3
2025-11-27 00:00:00,41.57
2025-11-26 00:00:00,58.12
2025-11-25 00:00:00,46.67
2025-11-24 00:00:00,30.51
2025-11-21 00:00:00,62.7
2025-11-20 00:00:00,45.93
2025-11-19 00:00:00,50.53
2025-11-18 00:00:00,21.19
2025-11-17 00:00:00,23.74
2025-11-14 00:00:00,42.15
2025-11-13 00:00:00,66.31
2025-11-12 00:00:00,9.97
2025-11-11 00:00:00,25.07
2025-11-10 00:00:00,19.18
2025-11-07 00:00:00,38.75
2025-11-06 00:00:00,9.26
2025-11-05 00:00:00,10.6
2025-11-04 00:00:00,1.61
2025-11-03 00:00:00,1.87
2025-10-31 00:00:00,1.62
2025-10-30 00:00:00,23.26
2025-10-29 00:00:00,7.77
2025-10-28 00:00:00,9.33
2025-10-27 00:00:00,4.85
2025-10-24 00:00:00,14.49
2025-10-23 00:00:00,0.0
2025-10-22 00:00:00,0.69
2025-10-21 00:00:00,2.45
2025-10-20 00:00:00,22.92
2025-10-17 00:00:00,37.04
2025-10-16 00:00:00,20.9
2025-10-15 00:00:00,7.39
2025-10-14 00:00:00,2.68
2025-10-13 00:00:00,2.76
2025-10-11 00:00:00,0.0
2025-10-10 00:00:00,7.16
2025-10-09 00:00:00,6.68
2025-09-30 00:00:00,55.94
2025-09-29 00:00:00,19.55
2025-09-28 00:00:00,8.12
2025-09-26 00:00:00,0.0
2025-09-25 00:00:00,0.0
2025-09-24 00:00:00,6.68
2025-09-23 00:00:00,0.0
2025-09-22 00:00:00,4.61
2025-09-19 00:00:00,0.0
2025-09-18 00:00:00,6.12
2025-09-17 00:00:00,1.55
2025-09-16 00:00:00,3.59
2025-09-15 00:00:00,30.28
2025-09-12 00:00:00,14.56
2025-09-11 00:00:00,42.89
2025-09-10 00:00:00,33.84
2025-09-09 00:00:00,10.54
2025-09-08 00:00:00,25.0
2025-09-05 00:00:00,14.37
2025-09-04 00:00:00,37.22
2025-09-03 00:00:00,43.46
