指标名称,动力煤：493家样本电厂：库存：中国（周）
指标编码,ID02090183
2026-01-09 00:00:00,10803.8
2026-01-02 00:00:00,11021.69
2025-12-26 00:00:00,10911.03
2025-12-19 00:00:00,10791.37
2025-12-12 00:00:00,10661.34
2025-12-05 00:00:00,10423.15
2025-11-28 00:00:00,10311.36
2025-11-21 00:00:00,10169.11
2025-11-14 00:00:00,9947.57
2025-11-07 00:00:00,9838.64
2025-10-31 00:00:00,9749.42
2025-10-24 00:00:00,9606.32
2025-10-17 00:00:00,9583.99
2025-10-10 00:00:00,9520.44
2025-10-03 00:00:00,9510.46
2025-09-26 00:00:00,9488.08
2025-09-19 00:00:00,9541.17
2025-09-12 00:00:00,9608.5
2025-09-05 00:00:00,9636.86
2025-08-29 00:00:00,9586.72
2025-08-22 00:00:00,9832.57
2025-08-15 00:00:00,9912.16
2025-08-08 00:00:00,9928.61
2025-08-01 00:00:00,10025.19
2025-07-25 00:00:00,10155.55
2025-07-18 00:00:00,10270.36
2025-07-11 00:00:00,10341.21
2025-07-04 00:00:00,10441.57
2025-06-27 00:00:00,10195.59
2025-06-20 00:00:00,10131.76
2025-06-13 00:00:00,10620.42
2025-06-06 00:00:00,10607.57
2025-05-30 00:00:00,9696.6
2025-05-23 00:00:00,9489.13
2025-05-16 00:00:00,9210.1
2025-05-09 00:00:00,9089.15
2025-05-02 00:00:00,8877.63
2025-04-25 00:00:00,8848.62
2025-04-18 00:00:00,8768.51
2025-04-11 00:00:00,8707.18
2025-04-04 00:00:00,8748.11
2025-03-28 00:00:00,8765.89
2025-03-21 00:00:00,8630.22
2025-03-14 00:00:00,8783.62
2025-03-07 00:00:00,8847.51
2025-02-28 00:00:00,9141.8
2025-02-21 00:00:00,9513.11
2025-02-14 00:00:00,9788.17
2025-02-07 00:00:00,10060.94
2025-01-31 00:00:00,10377.39
2025-01-24 00:00:00,10672.36
2025-01-17 00:00:00,10713.84
2025-01-10 00:00:00,10914.81
2025-01-03 00:00:00,11031.84
2024-12-27 00:00:00,11054.84
2024-12-20 00:00:00,11067.83
2024-12-13 00:00:00,11102.61
2024-12-06 00:00:00,11111.61
2024-11-29 00:00:00,11001.18
2024-11-22 00:00:00,10805.1
2024-11-15 00:00:00,10661.86
2024-11-08 00:00:00,10549.13
2024-11-01 00:00:00,10329.55
2024-10-25 00:00:00,10053.57
2024-10-18 00:00:00,9876.09
2024-10-11 00:00:00,9660.71
2024-10-04 00:00:00,9375.81
2024-09-27 00:00:00,9177.49
2024-09-20 00:00:00,9143.24
2024-09-13 00:00:00,9228.79
2024-09-06 00:00:00,9368.05
2024-08-30 00:00:00,9726.0
2024-08-23 00:00:00,9839.69
2024-08-16 00:00:00,9891.29
2024-08-09 00:00:00,10101.62
2024-08-02 00:00:00,10387.99
2024-07-26 00:00:00,10440.82
2024-07-19 00:00:00,10512.06
2024-07-12 00:00:00,10466.48
2024-07-05 00:00:00,10433.4
2024-06-28 00:00:00,10370.31
2024-06-21 00:00:00,10170.41
2024-06-14 00:00:00,10056.77
2024-06-07 00:00:00,9919.59
2024-05-31 00:00:00,9786.34
2024-05-24 00:00:00,9564.0
2024-05-17 00:00:00,9325.66
2024-05-10 00:00:00,9130.26
2024-05-03 00:00:00,9074.03
2024-04-26 00:00:00,8941.47
2024-04-19 00:00:00,8756.26
2024-04-12 00:00:00,8466.59
2024-04-05 00:00:00,8360.81
2024-03-29 00:00:00,8514.63
2024-03-22 00:00:00,8487.07
2024-03-15 00:00:00,8337.18
2024-03-08 00:00:00,8290.82
2024-03-01 00:00:00,8503.56
2024-02-23 00:00:00,8972.61
2024-02-16 00:00:00,9159.94
2024-02-09 00:00:00,9205.13
2024-02-02 00:00:00,9428.94
2024-01-26 00:00:00,9295.05
2024-01-19 00:00:00,9656.04
2024-01-12 00:00:00,9653.85
2024-01-05 00:00:00,9754.33
2023-12-29 00:00:00,9659.5
2023-12-22 00:00:00,9987.97
2023-12-15 00:00:00,10385.83
2023-12-08 00:00:00,10504.99
2023-12-01 00:00:00,10559.15
2023-11-24 00:00:00,10446.18
2023-11-17 00:00:00,10330.49
2023-11-10 00:00:00,10315.45
2023-11-03 00:00:00,10149.54
2023-10-27 00:00:00,10120.75
2023-10-20 00:00:00,9820.64
2023-10-13 00:00:00,9697.28
2023-10-06 00:00:00,9469.28
2023-09-29 00:00:00,9388.04
2023-09-22 00:00:00,9249.97
2023-09-15 00:00:00,9412.68
2023-09-08 00:00:00,9495.83
2023-09-01 00:00:00,9522.01
2023-08-25 00:00:00,9516.79
2023-08-18 00:00:00,9668.53
2023-08-11 00:00:00,9763.41
2023-08-04 00:00:00,9912.81
2023-07-28 00:00:00,10065.79
2023-07-21 00:00:00,10227.92
2023-07-14 00:00:00,10297.79
2023-07-07 00:00:00,10575.87
2023-06-30 00:00:00,10645.26
2023-06-23 00:00:00,10416.37
2023-06-16 00:00:00,10312.02
2023-06-09 00:00:00,10190.54
2023-06-02 00:00:00,10039.93
2023-05-26 00:00:00,9854.28
2023-05-19 00:00:00,9627.09
2023-05-12 00:00:00,9149.59
2023-05-05 00:00:00,8717.52
2023-04-28 00:00:00,8206.45
2023-04-21 00:00:00,7786.43
2023-04-14 00:00:00,7693.49
2023-04-07 00:00:00,7432.08
2023-03-31 00:00:00,7168.35
2023-03-24 00:00:00,7147.37
2023-03-17 00:00:00,7154.72
2023-03-10 00:00:00,7090.3
2023-03-03 00:00:00,7345.47
2023-02-24 00:00:00,7554.98
2023-02-17 00:00:00,7400.44
2023-02-10 00:00:00,7714.38
2023-02-03 00:00:00,8140.71
2023-01-27 00:00:00,8270.72
2023-01-20 00:00:00,8730.53
2023-01-13 00:00:00,8795.71
2023-01-06 00:00:00,8222.1
2022-12-30 00:00:00,8467.19
2022-12-23 00:00:00,8470.16
2022-12-16 00:00:00,8640.11
2022-12-09 00:00:00,8898.68
2022-12-02 00:00:00,9077.32
2022-11-25 00:00:00,9135.34
2022-11-18 00:00:00,9211.21
2022-11-11 00:00:00,9098.72
2022-11-04 00:00:00,8977.57
2022-10-28 00:00:00,9140.07
2022-10-21 00:00:00,8904.92
2022-10-14 00:00:00,8767.16
2022-10-07 00:00:00,8265.44
2022-09-30 00:00:00,8153.41
2022-09-23 00:00:00,8144.84
2022-09-16 00:00:00,8139.93
2022-09-09 00:00:00,8126.36
2022-09-02 00:00:00,7988.45
2022-08-26 00:00:00,7891.73
2022-08-19 00:00:00,7905.23
2022-08-12 00:00:00,8269.93
2022-08-05 00:00:00,8095.45
2022-07-29 00:00:00,8326.6
2022-07-22 00:00:00,8317.48
2022-07-15 00:00:00,8452.1
2022-07-08 00:00:00,8618.78
2022-07-01 00:00:00,8779.42
2022-06-24 00:00:00,8560.82
2022-06-17 00:00:00,8592.05
2022-06-10 00:00:00,8531.24
2022-06-03 00:00:00,8407.68
2022-05-27 00:00:00,8288.26
2022-05-20 00:00:00,8046.67
2022-05-13 00:00:00,7913.3
2022-05-06 00:00:00,7848.55
2022-04-29 00:00:00,7737.64
2022-04-22 00:00:00,7523.29
2022-04-15 00:00:00,7125.82
2022-04-08 00:00:00,6872.87
2022-04-01 00:00:00,6696.29
2022-03-25 00:00:00,6456.45
2022-03-18 00:00:00,6510.78
2022-03-11 00:00:00,6720.89
2022-03-04 00:00:00,6969.84
2022-02-25 00:00:00,7196.0
2022-02-18 00:00:00,7654.64
2022-02-11 00:00:00,7860.17
2022-02-04 00:00:00,7924.02
2022-01-28 00:00:00,8242.09
2022-01-21 00:00:00,8463.34
2022-01-14 00:00:00,8631.89
2022-01-07 00:00:00,8989.17
