指标名称,动力煤：Q＞5500：绝对参考价格：秦皇岛港（日）
指标编码,RE00035842
2026-01-14 00:00:00,706.0
2026-01-13 00:00:00,706.0
2026-01-12 00:00:00,704.0
2026-01-09 00:00:00,702.0
2026-01-08 00:00:00,700.0
2026-01-07 00:00:00,697.0
2026-01-06 00:00:00,694.0
2026-01-05 00:00:00,691.0
2026-01-04 00:00:00,690.0
2025-12-31 00:00:00,688.0
2025-12-30 00:00:00,686.0
2025-12-29 00:00:00,686.0
2025-12-26 00:00:00,687.0
2025-12-25 00:00:00,689.0
2025-12-24 00:00:00,694.0
2025-12-23 00:00:00,701.0
2025-12-22 00:00:00,708.0
2025-12-19 00:00:00,716.0
2025-12-18 00:00:00,723.0
2025-12-17 00:00:00,732.0
2025-12-16 00:00:00,741.0
2025-12-15 00:00:00,751.0
2025-12-12 00:00:00,757.0
2025-12-11 00:00:00,764.0
2025-12-10 00:00:00,770.0
2025-12-09 00:00:00,780.0
2025-12-08 00:00:00,789.0
2025-12-05 00:00:00,796.0
2025-12-04 00:00:00,803.0
2025-12-03 00:00:00,809.0
2025-12-02 00:00:00,812.0
2025-12-01 00:00:00,818.0
2025-11-28 00:00:00,821.0
2025-11-27 00:00:00,822.0
2025-11-26 00:00:00,826.0
2025-11-25 00:00:00,828.0
2025-11-24 00:00:00,830.0
2025-11-21 00:00:00,830.0
2025-11-20 00:00:00,830.0
2025-11-19 00:00:00,830.0
2025-11-18 00:00:00,830.0
2025-11-17 00:00:00,830.0
2025-11-14 00:00:00,830.0
2025-11-13 00:00:00,830.0
2025-11-12 00:00:00,827.0
2025-11-11 00:00:00,823.0
2025-11-10 00:00:00,820.0
2025-11-07 00:00:00,815.0
2025-11-06 00:00:00,810.0
2025-11-05 00:00:00,794.0
2025-11-04 00:00:00,784.0
2025-11-03 00:00:00,776.0
2025-10-31 00:00:00,769.0
2025-10-30 00:00:00,766.0
2025-10-29 00:00:00,766.0
2025-10-28 00:00:00,766.0
2025-10-27 00:00:00,768.0
2025-10-24 00:00:00,769.0
2025-10-23 00:00:00,767.0
2025-10-22 00:00:00,764.0
2025-10-21 00:00:00,759.0
2025-10-20 00:00:00,753.0
2025-10-17 00:00:00,744.0
2025-10-16 00:00:00,736.0
2025-10-15 00:00:00,728.0
2025-10-14 00:00:00,720.0
2025-10-13 00:00:00,715.0
2025-10-11 00:00:00,711.0
2025-10-10 00:00:00,706.0
2025-10-09 00:00:00,705.0
2025-09-30 00:00:00,705.0
2025-09-29 00:00:00,705.0
2025-09-28 00:00:00,706.0
2025-09-26 00:00:00,707.0
2025-09-25 00:00:00,707.0
2025-09-24 00:00:00,709.0
2025-09-23 00:00:00,709.0
2025-09-22 00:00:00,708.0
2025-09-19 00:00:00,705.0
2025-09-18 00:00:00,700.0
2025-09-17 00:00:00,696.0
2025-09-16 00:00:00,690.0
2025-09-15 00:00:00,685.0
2025-09-12 00:00:00,681.0
2025-09-11 00:00:00,681.0
2025-09-10 00:00:00,681.0
2025-09-09 00:00:00,683.0
2025-09-08 00:00:00,684.0
2025-09-05 00:00:00,686.0
2025-09-04 00:00:00,687.0
2025-09-03 00:00:00,690.0
2025-09-02 00:00:00,693.0
